Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
1	GO:0045137~development_of_primary_sexual_characteristics	6	1.104972376	9.23E-05	SDC1, TEX15, HOXA13, OSR1, VGF, GJB2	50	127	13528	12.7823622	0.053349829	0.027040509	0.13603866
1	GO:0007548~sex_differentiation	6	1.104972376	2.08E-04	SDC1, TEX15, HOXA13, OSR1, VGF, GJB2	50	151	13528	10.75072848	0.116312783	0.040379484	0.306555435
1	GO:0003006~reproductive_developmental_process	7	1.289134438	3.47E-04	SDC1, TEX15, HOXA13, OSR1, LEFTY2, VGF, GJB2	50	262	13528	7.22870229	0.186108956	0.050179437	0.510012981
1	GO:0030539~male_genitalia_development	3	0.552486188	0.001493152	TEX15, HOXA13, GJB2	50	16	13528	50.73	0.588355462	0.137510679	2.179776822
1	GO:0046546~development_of_primary_male_sexual_characteristics	4	0.73664825	0.001666023	SDC1, TEX15, HOXA13, GJB2	50	65	13528	16.64984615	0.628587939	0.131937775	2.429261844
1	GO:0046661~male_sex_differentiation	4	0.73664825	0.002324634	SDC1, TEX15, HOXA13, GJB2	50	73	13528	14.82520548	0.749034552	0.158698348	3.374332709
1	GO:0048806~genitalia_development	3	0.552486188	0.00309757	TEX15, HOXA13, GJB2	50	23	13528	35.29043478	0.841628554	0.185154617	4.472568696
1	GO:0048608~reproductive_structure_development	4	0.73664825	0.010641983	SDC1, HOXA13, OSR1, VGF	50	126	13528	8.589206349	0.998262338	0.327801036	14.59785767
1	GO:0001655~urogenital_system_development	3	0.552486188	0.060175776	SDC1, HOXA13, OSR1	50	110	13528	7.378909091	1	0.640855288	59.96251971
1	GO:0008406~gonad_development	3	0.552486188	0.062113049	SDC1, OSR1, VGF	50	112	13528	7.247142857	1	0.642807345	61.16264778
2	GO:0007267~cell-cell_signaling	11	2.025782689	4.69E-05	WISP2, CBLN1, GRIA2, NPTX2, NDP, OXTR, APBA2, CACNA1E, TFAP2C, VGF, GJB2	50	600	13528	4.960266667	0.027460226	0.027460226	0.06911309
2	GO:0007268~synaptic_transmission	6	1.104972376	0.004329656	CBLN1, GRIA2, NPTX2, OXTR, APBA2, CACNA1E	50	298	13528	5.447516779	0.924028677	0.193283746	6.199165166
2	GO:0019226~transmission_of_nerve_impulse	6	1.104972376	0.008454065	CBLN1, GRIA2, NPTX2, OXTR, APBA2, CACNA1E	50	350	13528	4.638171429	0.993546042	0.302476234	11.76958557
2	GO:0050877~neurological_system_process	9	1.657458564	0.067456621	FOS, CBLN1, GRIA2, NPTX2, NDP, OXTR, APBA2, CACNA1E, GJB2	50	1210	13528	2.012429752	1	0.66435572	64.3014255
3	GO:0050880~regulation_of_blood_vessel_size	3	0.552486188	0.015746694	CALCB, ACTC1, HBB	50	53	13528	15.31471698	0.999919557	0.391165335	20.87132429
3	GO:0035150~regulation_of_tube_size	3	0.552486188	0.015746694	CALCB, ACTC1, HBB	50	53	13528	15.31471698	0.999919557	0.391165335	20.87132429
3	GO:0003018~vascular_process_in_circulatory_system	3	0.552486188	0.018674161	CALCB, ACTC1, HBB	50	58	13528	13.99448276	0.999986289	0.413279194	24.27243747
3	GO:0003013~circulatory_system_process	4	0.73664825	0.029683332	CALCB, ACTC1, OXTR, HBB	50	186	13528	5.818494624	0.999999983	0.525639064	35.88081114
3	GO:0008015~blood_circulation	4	0.73664825	0.029683332	CALCB, ACTC1, OXTR, HBB	50	186	13528	5.818494624	0.999999983	0.525639064	35.88081114
3	GO:0008217~regulation_of_blood_pressure	3	0.552486188	0.05082256	ACTC1, OXTR, HBB	50	100	13528	8.1168	1	0.620238224	53.66613545
4	GO:0051591~response_to_cAMP	4	0.73664825	4.64E-04	FOS, SDC1, DUSP1, VGF	50	42	13528	25.76761905	0.241034724	0.053666136	0.682465859
4	GO:0010033~response_to_organic_substance	9	1.657458564	0.004052205	FOS, KRT19, SDC1, ACTC1, DUSP1, OXTR, HSPA1B, VGF, CYR61	50	721	13528	3.377309293	0.91035519	0.214307667	5.81291407
4	GO:0048545~response_to_steroid_hormone_stimulus	5	0.920810313	0.005062795	FOS, KRT19, SDC1, DUSP1, OXTR	50	192	13528	7.045833333	0.950951163	0.206989146	7.212705455
4	GO:0009725~response_to_hormone_stimulus	6	1.104972376	0.010251172	FOS, KRT19, SDC1, DUSP1, OXTR, VGF	50	367	13528	4.423324251	0.997802911	0.335048693	14.09894742
4	GO:0009719~response_to_endogenous_stimulus	6	1.104972376	0.015187623	FOS, KRT19, SDC1, DUSP1, OXTR, VGF	50	405	13528	4.008296296	0.999887286	0.396516446	20.20581971
4	GO:0000302~response_to_reactive_oxygen_species	3	0.552486188	0.030155963	FOS, SDC1, DUSP1	50	75	13528	10.8224	0.999999987	0.516899881	36.33990677
4	GO:0051384~response_to_glucocorticoid_stimulus	3	0.552486188	0.032411424	FOS, SDC1, DUSP1	50	78	13528	10.40615385	0.999999997	0.515608956	38.4888813
4	GO:0031960~response_to_corticosteroid_stimulus	3	0.552486188	0.037922402	FOS, SDC1, DUSP1	50	85	13528	9.549176471	1	0.559633461	43.45854325
4	GO:0010035~response_to_inorganic_substance	4	0.73664825	0.037959617	FOS, SDC1, DUSP1, GRIA2	50	205	13528	5.279219512	1	0.547360479	43.49079283
4	GO:0043627~response_to_estrogen_stimulus	3	0.552486188	0.055428273	KRT19, DUSP1, OXTR	50	105	13528	7.730285714	1	0.630733533	56.87372733
4	GO:0006979~response_to_oxidative_stress	3	0.552486188	0.118867743	FOS, SDC1, DUSP1	50	164	13528	4.949268293	1	0.797971307	84.53267892
4	GO:0042995~cell_projection	5	0.920810313	0.240940352	SDC1, OXTR, VGF, NEGR1, GAP43	47	697	12782	1.950914253	1	0.896715093	96.13299569
4	GO:0009628~response_to_abiotic_stimulus	3	0.552486188	0.38660589	FOS, DUSP1, VGF	50	368	13528	2.205652174	1	0.984194112	99.92597362
5	GO:0055002~striated_muscle_cell_development	3	0.552486188	0.015187239	KRT19, SDC1, ACTC1	50	52	13528	15.60923077	0.99988726	0.414173078	20.2053606
5	GO:0055001~muscle_cell_development	3	0.552486188	0.017477406	KRT19, SDC1, ACTC1	50	56	13528	14.49428571	0.99997172	0.407656516	22.89886775
5	GO:0051146~striated_muscle_cell_differentiation	3	0.552486188	0.040386825	KRT19, SDC1, ACTC1	50	88	13528	9.223636364	1	0.557915994	45.55748732
5	GO:0042692~muscle_cell_differentiation	3	0.552486188	0.071088326	KRT19, SDC1, ACTC1	50	121	13528	6.708099174	1	0.674743642	66.29789606
6	GO:0040007~growth	5	0.920810313	0.0042719	LEFTY2, APBA2, TNN, DCX, GAP43	50	183	13528	7.392349727	0.921365461	0.206400814	6.118882828
6	GO:0016049~cell_growth	3	0.552486188	0.020532373	LEFTY2, TNN, DCX	50	61	13528	13.30622951	0.999995553	0.428873468	26.3600597
6	GO:0008361~regulation_of_cell_size	3	0.552486188	0.171122342	LEFTY2, TNN, DCX	50	206	13528	3.940194175	1	0.882804765	93.72200146
6	GO:0032535~regulation_of_cellular_component_size	3	0.552486188	0.257362249	LEFTY2, TNN, DCX	50	271	13528	2.995129151	1	0.944834854	98.75806318
7	GO:0030054~cell_junction	7	1.289134438	0.010176272	SDC1, CBLN1, GRIA2, MYH2, OXTR, GAP43, GJB2	47	518	12782	3.675100633	0.76116362	0.511291109	11.36868981
7	GO:0005912~adherens_junction	3	0.552486188	0.107082788	SDC1, MYH2, OXTR	47	155	12782	5.263692519	0.99999987	0.733233923	73.7202653
7	GO:0070161~anchoring_junction	3	0.552486188	0.127085723	SDC1, MYH2, OXTR	47	172	12782	4.74344384	0.999999995	0.743128475	79.88483964
8	GO:0005578~proteinaceous_extracellular_matrix	5	0.920810313	0.027585949	MMP9, COL22A1, CHI3L1, TNN, MMP11	47	320	12782	4.249335106	0.9800854	0.728945142	28.11197779
8	GO:0031012~extracellular_matrix	5	0.920810313	0.034989718	MMP9, COL22A1, CHI3L1, TNN, MMP11	47	345	12782	3.941412273	0.993169198	0.631112165	34.31105763
