from	to
GO:0030182	GO:0040007
GO:0030182	GO:0000902
GO:0030182	GO:0048666
GO:0030182	GO:0016049
GO:0030182	GO:0030030
GO:0030182	GO:0048858
GO:0030182	GO:0048812
GO:0030182	GO:0000904
GO:0030182	GO:0048667
GO:0030182	GO:0008361
GO:0030182	GO:0031175
GO:0030182	GO:0032535
GO:0030182	GO:0007409
GO:0030182	GO:0032989
GO:0030182	GO:0032990
GO:0031410	GO:0016023
GO:0031410	GO:0044433
GO:0031410	GO:0003006
GO:0031410	GO:0019953
GO:0031410	GO:0044421
GO:0031410	GO:0044057
GO:0031410	GO:0050804
GO:0031410	GO:0007267
GO:0031410	GO:0031644
GO:0031410	GO:0030141
GO:0031410	GO:0051969
GO:0031410	GO:0005615
GO:0031410	GO:0031982
GO:0031410	GO:0048609
GO:0031410	GO:0008083
GO:0031410	GO:0031988
GO:0031410	GO:0032504
GO:0045137	GO:0046661
GO:0045137	GO:0019953
GO:0045137	GO:0048806
GO:0045137	GO:0048609
GO:0045137	GO:0051591
GO:0045137	GO:0048608
GO:0045137	GO:0046546
GO:0045137	GO:0030539
GO:0045137	GO:0003006
GO:0045137	GO:0007548
GO:0045137	GO:0032504
GO:0045137	GO:0001655
GO:0045137	GO:0008406
GO:0046661	GO:0048806
GO:0046661	GO:0001655
GO:0046661	GO:0046546
GO:0046661	GO:0007548
GO:0046661	GO:0044459
GO:0046661	GO:0003006
GO:0046661	GO:0030054
GO:0046661	GO:0005886
GO:0046661	GO:0030539
GO:0046661	GO:0048608
GO:0044433	GO:0031988
GO:0044433	GO:0050804
GO:0044433	GO:0005615
GO:0044433	GO:0048609
GO:0044433	GO:0032504
GO:0044433	GO:0030141
GO:0044433	GO:0016023
GO:0044433	GO:0044421
GO:0044433	GO:0031982
GO:0044433	GO:0031644
GO:0044433	GO:0007267
GO:0044433	GO:0003006
GO:0044433	GO:0019953
GO:0044433	GO:0051969
GO:0044433	GO:0008083
GO:0044433	GO:0044057
GO:0070011	GO:0031012
GO:0070011	GO:0004175
GO:0070011	GO:0005578
GO:0070011	GO:0044421
GO:0070011	GO:0008233
GO:0048812	GO:0032989
GO:0048812	GO:0048666
GO:0048812	GO:0040007
GO:0048812	GO:0032535
GO:0048812	GO:0030030
GO:0048812	GO:0007409
GO:0048812	GO:0048667
GO:0048812	GO:0016049
GO:0048812	GO:0048858
GO:0048812	GO:0008361
GO:0048812	GO:0031175
GO:0048812	GO:0000904
GO:0048812	GO:0032990
GO:0048812	GO:0000902
GO:0031175	GO:0016049
GO:0031175	GO:0000904
GO:0031175	GO:0032989
GO:0031175	GO:0008361
GO:0031175	GO:0048666
GO:0031175	GO:0032990
GO:0031175	GO:0040007
GO:0031175	GO:0000902
GO:0031175	GO:0048858
GO:0031175	GO:0048667
GO:0031175	GO:0032535
GO:0031175	GO:0007409
GO:0031175	GO:0030030
GO:0042692	GO:0055002
GO:0042692	GO:0043292
GO:0042692	GO:0055001
GO:0042692	GO:0009725
GO:0042692	GO:0030016
GO:0042692	GO:0009719
GO:0042692	GO:0032989
GO:0042692	GO:0010033
GO:0042692	GO:0030029
GO:0042692	GO:0051146
