Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
1	GO:0009719~response to endogenous stimulus	11	1.289566237	5.29E-05	CDKN1A, CA9, BCHE, ALDOC, FABP3, WFDC1, CD24, MMP3, TRH, VGF, IHH	73	405	13528	5.033248774	0.057627577	0.057627577	0.084771735
1	GO:0010033~response to organic substance	14	1.64126612	9.64E-05	ALDOC, VGF, TRH, MMP3, CDKN1A, HSPA2, CA9, APOE, BCHE, FABP3, WFDC1, CD24, IHH, CYR61	73	721	13528	3.598350845	0.102495268	0.035403721	0.154389685
1	GO:0048545~response to steroid hormone stimulus	7	0.82063306	5.43E-04	CDKN1A, CA9, BCHE, WFDC1, CD24, TRH, IHH	73	192	13528	6.756278539	0.456221569	0.141272256	0.866683513
1	GO:0009725~response to hormone stimulus	9	1.055099648	7.16E-04	CDKN1A, CA9, BCHE, FABP3, WFDC1, CD24, TRH, VGF, IHH	73	367	13528	4.544511216	0.552152825	0.148418991	1.141220101
1	GO:0070482~response to oxygen levels	6	0.703399766	9.15E-04	CDKN1A, CA9, ALDOC, CD24, TRH, CITED2	73	141	13528	7.885747595	0.642127875	0.157400277	1.457508224
1	GO:0042493~response to drug	5	0.586166471	0.027983836	CDKN1A, CA9, BCHE, FABP3, WFDC1	73	216	13528	4.28970066	1	0.829530242	36.55635214
2	GO:0044421~extracellular region part	17	1.992966002	2.16E-04	COL4A4, APOC1, CHI3L1, MMP26, VGF, MMP3, GREM2, SMOC2, COL9A2, COL17A1, COL6A6, APOD, APOE, CTGF, BCHE, WFDC1, IHH	80	960	12782	2.829348958	0.033400741	0.0168422	0.260089608
2	GO:0005578~proteinaceous extracellular matrix	9	1.055099648	7.88E-04	COL4A4, SMOC2, COL9A2, COL17A1, COL6A6, CTGF, CHI3L1, MMP26, MMP3	80	320	12782	4.493671875	0.116352072	0.040393706	0.943792505
2	GO:0031012~extracellular matrix	9	1.055099648	0.001278559	COL4A4, SMOC2, COL9A2, COL17A1, COL6A6, CTGF, CHI3L1, MMP26, MMP3	80	345	12782	4.168043478	0.181974849	0.04897559	1.528041634
2	GO:0044420~extracellular matrix part	4	0.468933177	0.035770156	COL4A4, SMOC2, COL9A2, COL17A1	80	117	12782	5.462393162	0.996716407	0.614469953	35.49401405
1	GO:0048545~response to steroid hormone stimulus	7	0.82063306	5.43E-04	CDKN1A, CA9, BCHE, WFDC1, CD24, TRH, IHH	73	192	13528	6.756278539	0.456221569	0.141272256	0.866683513
1	GO:0051384~response to glucocorticoid stimulus	3	0.351699883	0.064758537	CDKN1A, BCHE, TRH	73	78	13528	7.127502634	1	0.904387632	65.81263292
1	GO:0031960~response to corticosteroid stimulus	3	0.351699883	0.075202081	CDKN1A, BCHE, TRH	73	85	13528	6.540531829	1	0.929920228	71.44502775
3	GO:0007155~cell adhesion	10	1.172332943	0.011630853	CDH8, COL17A1, SVEP1, COL6A6, CTGF, BAI1, NPHS1, PCDH10, CD24, CYR61	73	700	13528	2.647358121	0.999998008	0.635677364	17.10141839
3	GO:0022610~biological adhesion	10	1.172332943	0.011732389	CDH8, COL17A1, SVEP1, COL6A6, CTGF, BAI1, NPHS1, PCDH10, CD24, CYR61	73	701	13528	2.643581576	0.999998225	0.61164153	17.23784067
3	GO:0016337~cell-cell adhesion	4	0.468933177	0.181655144	CDH8, CTGF, PCDH10, CD24	73	276	13528	2.68572563	1	0.977903925	95.97983624
4	GO:0005319~lipid transporter activity	4	0.468933177	0.004730156	APOD, APOE, FABP3, ATP8B4	71	63	12983	11.61010507	0.668703398	0.424416295	5.909415825
4	GO:0015914~phospholipid transport	3	0.351699883	0.013259472	APOE, APOC1, ATP8B4	73	33	13528	16.84682441	0.999999687	0.631547182	19.26438514
4	GO:0008289~lipid binding	7	0.82063306	0.03407256	SCGB2A1, DAPP1, APOD, APOE, FABP3, APOC1, IHH	71	450	12983	2.844475743	0.999689494	0.684596105	35.94058845
4	GO:0006869~lipid transport	4	0.468933177	0.042082281	APOE, FABP3, APOC1, ATP8B4	73	145	13528	5.112139821	1	0.866003436	49.80457698
4	GO:0010876~lipid localization	4	0.468933177	0.051174624	APOE, FABP3, APOC1, ATP8B4	73	157	13528	4.721403019	1	0.868977621	56.92123746
4	GO:0046486~glycerolipid metabolic process	3	0.351699883	0.213267971	APOE, FABP3, APOC1	73	162	13528	3.431760528	1	0.985081879	97.86226792
5	GO:0030246~carbohydrate binding	8	0.937866354	0.002898579	CTGF, APOE, SERPINA5, CHI3L1, PFKP, CD24, GALNT13, CYR61	71	354	12983	4.132410281	0.491530321	0.491530321	3.660516662
