Source	Target
ADH1B	CYR61
ADH1B	DUSP1
ALDH1A1	KLF4
ALDH1A1	HBA1
CYP4B1	HS6ST3
CYP4B1	DUSP1
CYR61	FMO2
CYR61	KRT19
DUSP1	HBB
DUSP1	MMRN1
DUSP1	ALDH1A1
FMO2	HBA2
FMO2	WISP2
FOS	MYH2
FOS	ADH1B
FOS	NEGR1
FOS	FMO2
HBA1	PLCXD3
HBA1	HBA2
HBA1	HBA2
HBA1	HBA2
HBA1	HBA1
HBA1	HBA1
HBA2	HBA1
HBA2	HBA1
HBA2	HBA1
HBA1	DUSP1
HBA2	OXTR
HBA2	CYP4B1
HBB	NEGR1
HS6ST3	FOS
HS6ST3	MMRN1
HSPA1B	MMRN1
HSPA1B	MYH2
KLF4	HSPA1B
KLF4	OXTR
KRT19	ALDH1A1
KRT19	KLF4
MMRN1	ADH1B
MMRN1	PLCXD3
MYH2	TPSB2
NEGR1	CYP4B1
NEGR1	TPSB2
OXTR	WISP2
OXTR	HSPA1B
PLCXD3	HBB
TPSB2	KRT19
TPSB2	FOS
WISP2	DUSP1
WISP2	ALDH1A1
