Source	Target
Nhp2	Nop56
Nop58	Nop56
Nop58	Nhp2
Rsl1d1	Nop56
Nop58	Rsl1d1
Eif4b	Eif5
Snrpa1	Sf3b2
Snrpa1	Lsm4
Rpl12	Rpl17
Nhp2	Rsl1d1
Hnrnpl	Tra2b
Hnrnpl	Syncrip
Rbm39	Luc7l2
Rpl12	Eef1b2
Hnrnpl	Ssb
Nop58	Ssb
Eef1b2	Rpl17
Syncrip	Hnrnpu
Hnrnpl	Pcbp1
Hspa1b	Hspa1a
Nop56	Ssb
Hnrnpl	Sfpq
Eif4b	Nop56
Yars	Abcf1
Ssb	Ncl
Nhp2	Ssb
Nop58	Eif4b
Hnrnpl	Khdrbs1
Hnrnpu	Sfpq
Rpl17	Serbp1
Nhp2	Lsm4
Hnrnpu	Ncl
Nop58	Ncl
Hnrnpl	Hnrnpu
Rpl12	Serbp1
Rpl12	Srp14
Ewsr1	Ybx1
Syncrip	Ncl
Nop56	Ncl
Rpl17	Srp14
Ssb	Syncrip
Nop56	Lsm4
Tra2b	Sfpq
Khdrbs1	Sfpq
Pcbp1	Rbm3
Lsm4	Sf3b2
Snrpa1	Luc7l2
Nhp2	Rpl12
Eif4b	Pcbp1
Tra2b	Khdrbs1
Nhp2	Apex1
Luc7l2	U2af1
Nop58	Lsm4
Syncrip	Caprin1
Snrpa1	Nop56
Rbm39	U2af1
Nhp2	Snrpa1
Tra2b	Syncrip
Ybx1	Apex1
Tra2b	Hnrnpu
Tra2b	Pcbp1
Ybx1	Hnrnpu
Eif5	Yars
Khdrbs1	Syncrip
Serbp1	Ncl
Ybx1	Syncrip
Ssb	Serbp1
Syncrip	Lsm4
Khdrbs1	Hnrnpu
Ybx1	Ncl
Syncrip	Serbp1
Eif4b	Nhp2
Syncrip	U2af1
Syncrip	Sfpq
Nhp2	Rpl17
Tra2b	Ssb
Ybx1	Caprin1
Psip1	Ranbp2
Ewsr1	Hnrnpu
Strap	Syncrip
Abcf1	Aimp1
Tra2b	U2af1
Edc4	Lsm4
Hnrnpl	Ncl
Snrpa1	Ncl
Rbm39	Khdrbs1
Ewsr1	Khdrbs1
Luc7l2	Sf3b2
Ssb	Pcbp1
Tra2b	Luc7l2
Hspa1b	Ncl
Rsl1d1	Ncl
Hnrnpl	Ybx1
Nhp2	Ranbp2
Khdrbs1	Pcbp1
Snrpa1	Rbm3
Rpl12	Yars
Tra2b	Snrpa1
Sfpq	Ncl
Hnrnpl	Ewsr1
Ewsr1	Sfpq
Nop56	Apex1
Rbm39	Sfpq
Yars	Apex1
Syncrip	Pcbp1
Serbp1	Psip1
Nop58	Snrpa1
Nop56	U2af1
Yars	Nop56
Nop56	Serbp1
Hnrnpu	U2af1
Khdrbs1	U2af1
Ybx1	Pcbp1
Ssb	Psip1
Eif4b	Ybx1
Nop58	Syncrip
Ssb	Ranbp2
Snrpa1	Hnrnpu
Ckap4	Aimp1
Syncrip	Luc7l2
Pcbp1	Ncl
Sf3b2	U2af1
Ssb	Sfpq
Hnrnpl	U2af1
Khdrbs1	Rbm3
Hspa1b	Ranbp2
Rbm3	Sfpq
Apex1	Ncl
Snrpa1	U2af1
Luc7l2	Sfpq
Sfpq	Sf3b2
Nop58	Ranbp2
Rsl1d1	Syncrip
Rsl1d1	Ssb
Lsm4	Ncl
Nhp2	Ncl
Nop58	Sf3b2
Eif4b	Sf3b2
Sfpq	U2af1
Eif4b	Ncl
Ybx1	Rbm3
Rsl1d1	Rpl17
Tra2b	Rbm39
Khdrbs1	Ncl
Nop56	Sf3b2
