from	to
RPL24	RPL41
RPL24	RPL26
RPL24	RPL30
RPL24	TPT1
RPL24	RPL9
RPL24	RPS25
RPL24	RPS23
RPL24	RPL31
RPL24	RPS27A
RPL24	U16
RPL24	RPS4X
RPL24	RPL7
RPL24	RPL4
RPL24	RPL5
RPL24	RPS3A
RPL24	RPS7
RPL24	RPL34
RPL24	RPL35A
RPL24	RPS24
RPL24	RPL6
RPL41	RPL5
RPL41	RPS3A
RPL41	TPT1
RPL41	RPS23
RPL41	RPS4X
HNRPA1	RPS25
HNRPA1	RPS24
HNRPA1	RPS4X
HNRPA1	RPS6
HNRPA1	RPL22
HNRPA1	NCL
HNRPA1	RPL24
HNRPA1	NPM1
HNRPA1	RPL4
HNRPA1	MDS1
HNRPA1	U16
HNRPA1	RPS23
HNRPA1	RPS7
HNRPA1	SF3B1
HNRPA1	NAP1L1
HNRPA1	RPL17
HNRPA1	RPL11
HNRPA1	RPL6
HNRPA1	RPL34
HNRPA1	LOC440055
HNRPA1	RPS3A
HNRPA1	RPL7
RPS25	RPS4X
RPS25	RPS3A
RPS25	RPS6
RPS25	U16
RPS25	RPS7
RPS25	RPS27A
H3F3A	RPA1
H3F3A	RAP1B
H3F3A	RPLP2
H3F3A	RPS20
H3F3A	RPL27
H3F3A	RPS11
H3F3A	RPL27A
COX8A	CYC1
COX8A	NDUFS8
COX8A	SLC25A11
COX8A	SLC25A3
COX8A	NDUFAB1
COX8A	NDUFB11
COX8A	MRPS12
CYC1	ETFB
CYC1	UQCRC1
ATP8B1	PDE4C
ATP8B1	FLJ42393
ATP8B1	DKFZP566N034
ATP8B1	CEP27
ATP8B1	KNS2
ATP8B1	RIOK3
ATP8B1	DBT
ATP8B1	PGF
ATP8B1	ZNF611
ATP8B1	SLC35E1
ATP8B1	LOC152719
ATP8B1	FBXW12
ATP8B1	ZNF160
PDE4C	SPG21
PDE4C	UBE2D2
PDE4C	PRKAR2A
PDE4C	ZNF611
PDE4C	PRR11
PDE4C	PGF
PDE4C	ZNF160
PDE4C	RIOK3
