Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Acetylation	239	41.78321678321678	4.4269429701384964E-57	Q13200, Q13769, Q86VR2, P62753, J3QSV6, Q9NTJ3, P0DP23, P38606, P62269, Q02978, P59998, P50402, Q00839, Q96J01, Q9ULL5, Q13561, Q96GG9, Q9UKV3, P62258, P13797, Q8NC51, P35998, P40227, P26358, P35606, Q92793, P09874, Q96FV9, Q00688, P27348, Q15311, P11310, O95757, Q6PKG0, P11021, P63104, Q8WX92, Q7L8L6, Q9P035, Q13838, Q9NQG5, P06576, Q9BXP5, O60333, O43592, P53618, Q09161, O14745, Q9Y5A9, Q9Y312, P31948, P30153, Q5T9A4, Q9Y6E2, Q9H773, Q6PJT7, P10155, P57088, O00303, P05023, P09651, Q9NZ01, P52294, Q96CW5, P52298, P49756, P24928, Q9H270, P47756, Q9Y5S9, P51665, Q96HW7, P60900, Q9NW13, P19338, Q15365, Q9BSM1, P25787, Q7Z628, P67870, Q9HCE1, P33176, O00422, Q5JRX3, P08107, P46379, O75746, P48643, P52292, O00429, Q9UKA9, O43765, P46782, Q99623, Q6NXT6, Q9NR30, O75348, P52948, Q8N0X7, P49368, Q99615, P38435, P0DMV8, Q10713, P08621, Q9NQC3, O43852, O76024, P25440, P04406, Q9ULV4, Q96EY1, Q9H845, Q13283, O00148, O95071, P53396, O95070, O43707, Q05639, P53582, Q13151, Q9BRP8, P68036, P05556, P17987, O75822, P39019, P48668, Q13011, O60884, Q6NZY4, O60885, O60684, P11940, P67809, P16402, Q9NU22, P63244, P31150, P38159, Q96A65, P34932, Q14974, O43633, Q96IV0, P12956, Q96N67, Q96PV6, P09622, P35222, Q99832, P62195, P12814, P52907, Q9H078, Q7KZF4, P35232, O95816, P63279, O94826, Q86VM9, Q14152, P07195, Q14155, Q9NVW2, P63165, Q9UDR5, P50395, Q9H814, O95347, P40939, O75400, Q9UER7, P61326, Q96A72, Q9Y3U8, P07355, P31689, P42224, Q16576, Q99460, P11586, Q6UX04, Q9NWV8, Q9H307, P13804, Q9H8W4, Q9Y6M9, Q9Y265, O00629, P62140, P22314, Q99471, P61927, Q7Z2K6, P26599, P20700, O14818, Q00325, Q9P289, P61158, P62191, P19784, Q9NVI7, Q96CS3, Q92843, O75534, P06493, Q9ULX6, P61916, O14964, O95373, Q14739, O75934, P0C7P0, P38919, P12004, Q16891, Q86U42, P60866, Q6I9Y2, Q08043, P60660, P34897, P13010, P57678, O00505, P25205, P62937, Q6P2E9, O60762, Q9UNM6, O14980, P25705, Q9Y4L1, Q5JVF3, Q86U32, O00231, O75940	515	3424	20581	2.7894808774158424	1.5981264122199972E-54	1.5981264122199972E-54	6.082484981089473E-54
UP_KEYWORDS	Phosphoprotein	357	62.41258741258741	5.793749212560074E-42	Q13200, Q96GX9, O00203, Q13769, Q5H9R7, Q3ZCQ8, O76061, Q86VR2, P62753, J3QSV6, Q9NTJ3, P0DP23, P53621, Q9BSJ2, P38606, Q8TBB1, Q02978, P50402, Q00839, P34741, Q9ULL5, Q99569, Q13561, P39880, Q86W42, Q07820, P55198, Q13352, Q07817, Q9UKV3, Q9UBF2, P52630, P62258, P0C2L3, P13797, Q8NC51, P40227, Q00403, Q9Y580, P26358, Q96PE1, Q9ULI0, P35606, Q92793, Q96FV9, Q15303, P09874, P35609, Q00688, P78563, Q13443, Q15311, P27348, Q58FF8, P11310, O95757, Q6PKG0, Q12789, Q6SPF0, P11021, Q92900, P63104, Q9ULJ7, Q8WX92, Q7L8L6, P35613, Q9BUQ8, Q9P035, Q92502, Q13838, Q9NQG5, Q8WTT2, P06576, Q9BW92, Q9BXP5, O60333, P55085, Q13224, Q09161, O14745, Q9P0K1, Q99519, Q9Y5A9, P31948, Q9Y6E2, Q9H773, Q6PJT7, O75592, Q5VV67, P10155, O00303, P05023, P09651, P05026, P51570, Q9NZ01, P52294, Q96CW5, Q8N0Z8, Q13310, P20290, P52298, Q8N0Z6, P49756, P24928, P37173, Q9H270, P47756, Q9Y5S9, O00192, Q9NW13, P60900, P00747, P19338, Q15365, Q12959, P27105, Q9BSM1, Q7Z4H7, P25787, Q9UQB3, Q7Z628, P81408, P67870, Q9HCE1, P68400, P33176, Q96IZ7, P08107, P46379, P83916, Q8NEM0, P48643, O00429, P52292, O15439, Q9UKA9, O43765, P46782, Q99623, Q6NXT6, Q9UKS6, Q9NR30, Q9P0L2, Q9C0B5, P78406, P52948, Q8N0X7, Q9NYL9, P49368, Q99615, O15397, P0DMV8, P08621, Q6ZTQ3, Q9NQC3, O43852, O76024, P48556, P25440, P04406, Q14524, Q96EY1, P53778, P09601, Q16630, Q9H845, O15027, Q13283, P15151, O00148, O95071, O95070, P53396, Q7L590, O43707, P10415, Q05639, Q86WX3, Q13151, Q9BRP8, Q9Y6R1, P05556, O75822, P17987, Q13155, Q8TDD1, Q13011, Q15293, P48668, O60884, Q6NZY4, O60885, O60684, P11940, P61254, P56270, P67809, P16402, Q9NU22, P63244, P38159, Q9UM54, P34932, Q96A65, Q8IWA5, P53007, Q14974, O43633, Q96IV0, P12956, Q14160, Q96N67, O00469, Q96PV6, P09622, P16615, P35222, P62195, P12814, P30876, P19105, Q02224, P52907, Q7KZF4, P35232, Q9Y375, O95816, Q14257, P63279, O94762, Q5JWF2, O94826, Q92994, Q8N5P1, Q86VM9, Q14152, P07195, Q9H3P2, P63165, Q9NVW2, Q9UN86, Q14155, Q6DN90, Q14653, O43818, Q96NW7, P09603, P50395, Q9H814, P33527, P40939, O75400, Q96AY3, Q9UER7, P05814, P07355, P31689, P42224, K7ELV2, Q96S66, Q16576, Q99460, Q8N6S5, P11586, P18615, Q6UX04, Q9NWV8, Q9H307, Q9H8W4, P13804, Q9Y6M9, Q96SF7, O00629, Q5SW79, P15924, P62140, Q86VG3, P22459, P22314, Q9UHI6, Q99471, Q9UH99, P04439, P61927, Q96RT1, O14950, Q96ER3, P22460, P26599, Q9BY42, O14818, P20700, Q00325, P35637, Q12770, Q8NI27, Q9P289, P62191, Q9Y276, Q6L8Q7, Q695T7, P19784, Q9NVI7, P08581, Q92843, O75534, Q86UD3, P06493, Q9ULX6, Q53F19, O14964, O95373, Q9NV92, Q96F46, O00124, Q14739, O75934, P98179, P38919, P12004, Q86U42, Q16891, P60866, Q6I9Y2, Q8TAD8, Q8TF76, P02768, P60660, Q92953, P13010, P34897, P57678, Q9NYU1, O00505, P27448, P25205, Q14315, P08708, Q6P2E9, P62937, O60762, Q14011, O14980, P25705, Q7KZI7, P42677, Q7Z4Q2, Q96K17, Q9Y4L1, Q5JVF3, O00231, Q86U32, Q9UBU6, Q08431, O75940, P85299, P49069, Q9H2P9	515	8246	20581	1.730151482684161	2.0915434657341866E-39	1.0457717328670933E-39	7.960435182315693E-39
UP_KEYWORDS	RNA-binding	64	11.188811188811188	4.85956438890821E-20	P07355, Q13769, Q9Y5A9, Q3ZCQ8, Q16630, P18615, Q6PJT7, Q13283, P62269, Q5VV67, O00148, P10155, Q00839, Q96J01, P09651, Q13151, Q9BRP8, Q13310, P52298, P49756, Q8TDD1, P61927, Q86W42, P11940, Q9UKV3, P26599, P56270, P67809, P35637, Q9Y5S9, Q8NI27, Q9NW13, P19338, Q15365, Q8NC51, P38159, Q9Y580, O75534, Q9HCE1, Q96FV9, Q53F19, P78563, Q6PKG0, P98179, P38919, Q9UKA9, Q92900, Q86U42, Q6I9Y2, Q9NR30, Q7L8L6, Q8N5P1, Q14152, Q9UN86, Q13838, O43818, Q14011, Q9H814, O14980, O43592, P08621, P61326, Q86U32, Q96A72	515	665	20581	3.8460734360172273	1.7543027443958638E-17	5.84767581465288E-18	6.676893650890359E-17
UP_KEYWORDS	mRNA processing	44	7.6923076923076925	6.115605976300661E-19	Q09161, Q13769, Q9ULX6, Q96FV9, Q16630, Q53F19, P78563, O00422, Q96IZ7, O00148, Q9H307, O75934, Q00839, Q9UKA9, P38919, P09651, Q96J01, Q86U42, Q6I9Y2, P52298, P49756, Q7L8L6, Q9UHI6, Q9BUQ8, Q6NZY4, Q86W42, P57678, Q13838, P11940, Q6IEG0, P26599, Q9UKV3, P67809, Q9Y5S9, Q8NI27, O75400, P08621, Q9NW13, Q86U32, P61326, O75940, Q96A72, Q6L8Q7, P38159	515	332	20581	5.296315358521464	2.2077337574445387E-16	5.519334393611347E-17	8.402656585374095E-16
UP_KEYWORDS	mRNA splicing	37	6.468531468531468	5.4969220972972783E-17	Q09161, Q13769, Q9ULX6, Q96FV9, O00422, Q96IZ7, O00148, Q9H307, O75934, Q9UKA9, P38919, Q00839, P09651, Q96J01, Q6I9Y2, P52298, P49756, Q9UHI6, Q9BUQ8, Q86W42, Q6NZY4, P57678, Q13838, P11940, Q6IEG0, P26599, Q9UKV3, P67809, Q9Y5S9, Q8NI27, O75400, Q9NW13, Q86U32, P61326, O75940, Q96A72, P38159	515	260	20581	5.687057505601194	1.9843888771243175E-14	3.9687777542486354E-15	7.55260375490754E-14
UP_KEYWORDS	Isopeptide bond	78	13.636363636363635	8.017278049899538E-16	P07355, P42224, P31948, Q16576, J3QSV6, P18615, P0DP23, Q6PJT7, Q9H307, O00148, P53396, Q7L590, O43707, Q00839, Q9Y265, P09651, Q13151, Q99569, P05556, P49756, P39880, Q07820, O60885, P22460, Q9UKV3, P20700, P61254, P67809, Q9Y5S9, P51665, P60900, Q96HW7, P13797, P19338, P62191, Q8NC51, P38159, O15503, Q14974, P26358, P12956, P67870, O75534, Q92793, P06493, P09874, Q96FV9, Q53F19, P16615, O00422, Q02224, P83916, Q6PKG0, Q12789, O00429, P11021, P38919, P12004, P63279, P05161, P60866, Q5JWF2, Q9NR30, Q8TAD8, Q86VM9, P13010, P63165, Q9UN86, Q14653, Q13838, Q8N0X7, P08708, P49368, P62937, O75400, Q9UER7, O00231, Q10589	515	1132	20581	2.7536416343613848	2.8055335832277706E-13	4.674038933671909E-14	1.0658141036401503E-12
UP_KEYWORDS	Ubl conjugation	93	16.258741258741257	1.1292642171073112E-12	P07355, P04406, P42224, Q14524, P31948, Q16576, P53778, J3QSV6, P18615, P0DP23, Q6PJT7, O75592, Q9H307, O00148, P53396, Q7L590, Q9Y265, Q00839, P09651, P10415, P52294, Q13151, P68036, P05556, Q13155, P22314, P49756, P04439, P39880, Q07820, O60885, P24928, P22460, Q9UKV3, P20700, P61254, P67809, Q9Y5S9, P51665, Q96HW7, P19338, P62191, P38159, Q8NC51, O15503, O43633, P26358, P12956, Q14160, P08581, P67870, O75534, Q92793, P06493, Q53F19, Q15303, P09874, Q96FV9, P35222, P35609, O14964, O00422, Q02224, Q9NV92, P83916, P46379, Q6PKG0, Q12789, O00429, P11021, P38919, P12004, P63279, P60866, Q5JWF2, Q9NR30, Q8TAD8, Q86VM9, P13010, P63165, Q9UN86, Q8N0X7, Q14653, Q13838, Q14315, P08708, P49368, P62937, P55085, O75400, Q9UER7, O00231, Q10589	515	1705	20581	2.1798058252427186	4.0768410869418403E-10	5.824063453729877E-11	1.5516476992161188E-9
UP_KEYWORDS	Methylation	65	11.363636363636363	4.681936436914598E-12	P04406, P31689, Q14524, Q96EY1, P0DP23, P53621, Q13283, Q9H307, Q00839, P09651, Q05639, Q13151, P15924, Q99569, Q13310, P52298, P20290, P39019, O60884, P24928, Q9NZJ7, P11940, Q9UKV3, Q9H270, P20700, Q00325, P35637, Q12770, O00192, P19338, Q8NC51, P38159, P34932, Q9Y580, P26358, Q9UQB3, Q96N67, Q92843, Q92793, Q9ULX6, Q99832, P30876, Q02224, P33176, P08107, O95757, Q6PKG0, P11021, P98179, P12004, Q92900, Q86U42, O94826, Q9C0B5, P02768, Q92502, Q9UN86, Q14315, O43818, Q96NW7, Q9BXP5, P0DMV8, P40939, P25705, O75400, Q96K17	515	1001	20581	2.59500693481276	1.690173667689976E-9	2.1127166682788356E-10	6.432820942592343E-9
UP_KEYWORDS	Host-virus interaction	37	6.468531468531468	1.1593871400618517E-11	P35998, Q00403, Q14974, P42224, Q14160, Q92793, Q9BYF1, O95373, Q7KZF4, P15151, P52292, P05161, P09651, P63279, O43765, P52294, P05556, P04439, O60885, P52948, O00505, P14735, P63165, Q14653, P62937, O14818, P62258, P52630, O14980, Q86UT6, P63244, Q9UER7, P15144, Q08431, P49069, P53618, Q12959	515	385	20581	3.8406102635228847	4.185375157561566E-9	4.6504167183769596E-10	1.5929579877393962E-8
UP_KEYWORDS	Alternative splicing	338	59.09090909090909	3.953101294662471E-11	A1A5B4, Q13200, Q96GX9, O00203, Q5H9R7, Q3ZCQ8, Q86VR2, Q9NXS2, J3QSV6, Q9NTJ3, Q96JC1, P53621, Q9BSJ2, O43292, P38606, Q8TBB1, P59998, Q02978, Q8IXH7, Q00839, Q96J01, Q8TEQ8, Q9ULL5, Q99569, Q6UXZ0, Q96DN2, Q13561, P39880, Q86W42, Q07820, Q13352, Q4KMQ2, Q9NZJ7, Q9P2E5, Q07817, Q9UKV3, Q9UBF2, P52630, P62258, Q86YB8, P13797, Q8NC51, P35998, P40227, P26358, Q96PE1, Q9ULI0, P35606, Q92793, Q96FV9, Q15303, P35609, Q9Y680, P78563, Q13443, Q9NRH1, P11310, Q9Y673, Q6PKG0, Q12789, Q92900, Q96MM7, P63104, Q96DL1, Q9ULJ7, P35613, Q9BUQ8, Q9UBX3, Q9P035, Q92502, Q13838, Q9BW92, Q9BXP5, Q13438, O60333, Q9BVK2, O14745, Q9P0K1, Q9UL15, Q9Y5A9, Q5T9A4, P31948, Q9Y6E2, Q8IZ52, Q6PJT7, Q8IWK6, O75592, Q5VV67, Q8NCA5, P10155, Q9Y3A6, P05023, P09651, P05026, P51570, Q9NZ01, Q9BQ95, Q96CW5, Q8N0Z8, Q13310, P20290, P52298, P49756, P14735, P24928, P37173, P47756, Q9Y5S9, O00192, Q9NW13, P60900, Q96HW7, Q8NHY3, Q12959, P27105, Q9BSM1, Q7Z4H7, Q9UQB3, Q7Z628, P81408, Q9HCE1, Q86W11, P68400, Q8IXB1, Q5JRX3, P00750, Q96IZ7, P08107, P46379, Q8NEM0, O75746, Q96DZ1, P48643, O00429, O15439, Q7Z4H8, Q9UKA9, Q99623, Q6NXT6, Q9NR30, Q9P0L2, Q9C0B5, P52948, P51148, P49368, Q99615, P38435, P05155, O15397, P0DMV8, Q10713, Q6ZTQ3, P08621, Q9NQC3, O43852, Q6NXT4, P25440, P04406, Q9ULV4, Q14524, Q96EY1, P35052, P53778, Q16630, Q9NYB5, O15027, Q13283, P55786, P15151, Q9NXK8, O00148, O95071, P53396, Q7L590, O43707, Q2PZI1, O14656, P10415, P68036, Q9BRP8, Q9Y6R1, P05556, O75822, Q8TDD1, Q00765, Q15293, Q9BZQ6, Q6NZY4, P29122, O60885, Q8TA94, P33402, P11940, Q6IEG0, P56270, Q15008, P38159, Q9UM54, Q8N766, Q96A65, P34932, Q8IWA5, Q14974, Q96IV0, P12956, Q14160, Q96N67, O00469, Q96PV6, P09622, P16615, P35222, Q99832, P62195, P12814, Q9H078, Q02224, P35232, O95816, Q14257, O94762, Q5JWF2, Q9BRN9, Q92994, Q86VM9, Q14152, Q9H3P2, P63165, Q9UN86, Q9NVW2, Q14155, Q6DN90, Q14653, Q96NW7, P09603, P50395, Q6ZMR5, P33527, O95347, P40939, Q9Y466, P31431, O75400, Q96AY3, Q8IWR1, Q9UER7, P61326, P07355, Q96K12, P31689, P42224, Q9H488, K7ELV2, P39656, Q96S66, Q16576, Q9BYF1, Q99460, P18615, Q6UX04, Q9NWV8, Q7Z5G4, Q9H307, P13804, Q32M45, Q9Y265, Q96SF7, Q5SW79, P15924, Q86VG3, Q9UHI6, Q99471, Q9UH99, P04439, Q9GZU3, Q96RT1, Q7Z2K6, Q96S52, P22460, P26599, O14818, Q00325, P35637, Q12770, Q8NI27, Q9H4F8, Q86UT6, P15692, Q9P289, P62191, Q6L8Q7, Q9NVI7, O15503, P08581, Q92843, O75534, Q86UD3, P06493, Q9ULX6, P61916, Q53F19, O14964, Q16548, Q96F46, O00124, Q9BQT8, Q86U42, Q16891, P60866, Q96D53, Q8IWF2, Q8TF76, Q86SQ6, P02768, P60660, P34897, Q9BQB6, Q9NYU1, P27448, P25205, Q14315, Q6P2E9, P62937, P06731, Q14011, Q92552, Q9UNM6, P25705, Q7KZI7, Q7Z4Q2, Q96K17, Q9Y4L1, Q5JVF3, Q86U32, O00231, Q08431, P85299, Q6UY11, Q9H2P9	515	10587	20581	1.275860026172417	1.4270707171526453E-8	1.4270706838459546E-9	5.431445293524462E-8
