Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	30	5.244755244755245	1.0620926248947278E-11	Q09161, P30876, Q6UX04, Q96IZ7, O00148, Q9H307, O75934, P38919, Q00839, P09651, Q86U42, Q13151, P52298, Q9BUQ8, Q6NZY4, Q13838, P24928, P11940, Q6IEG0, P26599, Q9BXP5, P67809, P35637, Q9Y5S9, O75400, P08621, Q86U32, P61326, Q15365, P38159	486	222	16792	4.669113558002447	2.4566253697955176E-8	2.4566253697955176E-8	1.8570778248516717E-8
GOTERM_BP_DIRECT	GO:0043488~regulation of mRNA stability	21	3.6713286713286712	1.2432470620032641E-11	P48556, P35998, Q13200, P25787, Q9Y5A9, Q99460, P62195, P11940, P08107, Q6PJT7, Q9UNM6, O14818, O14980, P0DMV8, Q15008, P51665, P60900, O00231, Q5JVF3, P62191, Q8NC51, P63104	486	103	16792	7.0444684166367	2.875637084009952E-8	1.4378185531072063E-8	2.1738277844463028E-8
GOTERM_BP_DIRECT	GO:0006405~RNA export from nucleus	16	2.797202797202797	2.6978530799054858E-11	Q6I9Y2, Q09161, P52298, Q13769, Q86W42, Q96FV9, P52948, Q13838, Q9Y5S9, O00148, Q8NI27, Q86U32, P38919, P61326, Q96J01, P09651	486	55	16792	10.051328095772542	6.240133909596324E-8	2.080044680941029E-8	4.717207735538409E-8
GOTERM_BP_DIRECT	GO:0031124~mRNA 3'-end processing	15	2.6223776223776225	8.444731031392154E-11	Q6I9Y2, Q09161, P52298, Q13769, Q86W42, Q96FV9, Q13838, Q9Y5S9, Q8NI27, O00148, Q86U32, P38919, P61326, Q96J01, Q86U42	486	50	16792	10.365432098765432	1.9532667372423873E-7	4.883167203928451E-8	1.4765652034398613E-7
GOTERM_BP_DIRECT	GO:0006369~termination of RNA polymerase II transcription	16	2.797202797202797	2.847944400827474E-10	Q6I9Y2, Q09161, P52298, Q13769, Q86W42, Q96FV9, Q13838, P56270, Q9Y5S9, O00148, Q8NI27, Q86U32, P38919, P61326, Q96J01, Q86U42	486	64	16792	8.637860082304528	6.587292541437861E-7	1.3174588553432898E-7	4.979642143077001E-7
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	24	4.195804195804196	4.6214256698960436E-10	Q6I9Y2, Q09161, P52298, Q13769, P49756, Q9BUQ8, P30153, Q86W42, Q9ULX6, Q96FV9, Q13838, O00422, Q6IEG0, Q96IZ7, P26599, Q9UKV3, Q9Y5S9, Q8NI27, O75934, P08621, Q9NW13, P38919, Q96A72, Q96J01	486	166	16792	4.9953889632604485	1.0689351388482038E-6	1.7815593578163202E-7	8.080581759273286E-7
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	20	3.4965034965034967	1.3549927720324808E-9	P60866, Q09161, Q9BRP8, P52298, P39019, P30153, P62753, P61927, P08708, P11940, P61254, P62269, Q9Y5S9, P42677, P61326, P38919, Q96A72, Q92900, P46782, Q9Y3U8	486	119	16792	5.806964761213127	3.1340934016910182E-6	4.4772823015737373E-7	2.369210527763954E-6
GOTERM_BP_DIRECT	GO:0006457~protein folding	24	4.195804195804196	2.329611764061273E-9	Q9H173, P19784, P40227, P31689, Q9UL15, P17987, Q99471, Q96EY1, P67870, O60884, P68400, Q9Y680, Q99832, Q6UX04, P62937, P49368, Q99615, Q58FF8, O95757, Q86YB8, O95816, P48643, Q96AY3, Q9BS26	486	180	16792	4.606858710562414	5.388377410597833E-6	6.735487642073323E-7	4.073335779786191E-6
GOTERM_BP_DIRECT	GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	15	2.6223776223776225	2.386402426304413E-9	P35998, P48556, Q13200, P25787, P04439, Q99460, P62195, P61769, Q9UNM6, O14818, Q15008, P51665, P60900, O00231, P62191	486	63	16792	8.226533411718597	5.519733544900873E-6	6.133052318224586E-7	4.172634515686724E-6
GOTERM_BP_DIRECT	GO:0006406~mRNA export from nucleus	18	3.146853146853147	3.7401061696093775E-9	Q6I9Y2, Q09161, K7ELV2, P52298, Q13769, P78406, Q86W42, Q96FV9, P52948, Q13838, Q9Y5S9, O00148, Q8NI27, Q86U32, P61326, P38919, Q92900, Q96J01	486	100	16792	6.219259259259259	8.650828295375668E-6	8.650861972325785E-7	6.539591190790617E-6
GOTERM_BP_DIRECT	GO:0046784~viral mRNA export from host cell nucleus	7	1.2237762237762237	1.5010497449424845E-8	Q6I9Y2, Q13769, Q8NI27, Q86W42, Q96FV9, Q96J01, Q13838	486	8	16792	30.232510288065846	3.471867804094586E-5	3.1562932687467793E-6	2.6245914286349148E-5
GOTERM_BP_DIRECT	GO:0006521~regulation of cellular amino acid metabolic process	13	2.272727272727273	1.67855514492472E-8	P35998, P48556, Q13200, P25787, Q99460, P62195, Q9UNM6, O14818, Q15008, P51665, P60900, O00231, P62191	486	51	16792	8.80722988783991	3.882422727552459E-5	3.235409845703252E-6	2.934960300349232E-5
