Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa03013:RNA transport	35	6.118881118881119	1.3994806523863046E-16	Q09161, Q14974, K7ELV2, Q13769, Q96FV9, O00422, Q9H307, O00303, P38919, Q96J01, P63279, Q92900, Q05639, Q6I9Y2, Q9BRP8, P52298, Q13310, O75822, Q9UHI6, P78406, Q14152, Q86W42, P57678, P52948, P63165, Q13838, P11940, Q9H814, Q9UKV3, O14980, Q9Y5S9, Q8NI27, O43592, P61326, Q96A72	251	172	6879	5.576878532382099	2.4980018054066022E-14	2.4980018054066022E-14	1.4432899320127035E-13
KEGG_PATHWAY	hsa03040:Spliceosome	23	4.020979020979021	1.7439600960716761E-9	Q09161, P52298, P49756, Q9BUQ8, Q96FV9, Q13838, P08107, Q9UKV3, Q9Y5S9, P0DMV8, Q8NI27, O75400, O75934, P08621, Q86U32, P61326, P38919, Q00839, O75940, P09651, Q96A72, Q96J01, Q15365, P38159	251	133	6879	4.739448222148998	3.92390943071419E-7	1.961954907425678E-7	2.227982431879383E-6
KEGG_PATHWAY	hsa03015:mRNA surveillance pathway	18	3.146853146853147	2.0223972928457464E-8	Q09161, Q9BRP8, P62140, Q13310, P52298, P30153, Q16630, Q13838, O00422, P11940, Q9UKV3, Q9Y5S9, Q9H307, P61326, P38919, Q92900, Q96A72, Q86U42	251	91	6879	5.421041110284138	4.550383604695618E-6	1.5167968355767059E-6	2.5836974093529363E-5
KEGG_PATHWAY	hsa03050:Proteasome	13	2.272727272727273	3.0578076103492466E-8	P35998, P48556, Q13200, P25787, Q99460, P62195, Q9UNM6, O14818, Q15008, P51665, P60900, O00231, P62191	251	44	6879	8.097337921043101	6.880043553647575E-6	1.7200153260565898E-6	3.9064772960895056E-5
KEGG_PATHWAY	hsa04141:Protein processing in endoplasmic reticulum	18	3.146853146853147	1.2641183139894594E-4	Q9H173, P31689, Q96IV0, P39656, O60884, Q9BZQ6, Q9NYU1, Q8IXB1, P08107, Q13438, O95757, Q96DZ1, Q86YB8, O95816, P0DMV8, P11021, Q9Y4L1, O76024, P10415	251	169	6879	2.919022136306844	0.028043724863290542	0.005672740887917027	0.1613762950981923
KEGG_PATHWAY	hsa04520:Adherens junction	11	1.9230769230769231	2.1954625114247502E-4	P19784, P12814, Q08043, P37173, P08581, P67870, Q92793, O43707, P68400, P35222, P35609	251	71	6879	4.246058021435386	0.04820283594891295	0.008200082699724942	0.2801173130171697
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	14	2.4475524475524475	4.535288346956736E-4	P48556, P35998, Q13200, Q9UNM6, Q15008, P04439, P51665, P53778, Q99460, O00231, P62191, Q14653, P10415, P62195	251	122	6879	3.144993795310561	0.09703107096003549	0.014475230980004916	0.5778575577303324
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	17	2.972027972027972	0.0031150372862941414	Q00403, Q08043, Q14160, P04439, Q96EY1, Q92793, P06493, P35609, Q14653, P12814, P27348, Q7KZF4, P62258, O43707, P62191, P63104, Q12959	251	205	6879	2.272723739189583	0.5043956245471599	0.08400755538928217	3.9074143220741764
KEGG_PATHWAY	hsa05164:Influenza A	15	2.6223776223776225	0.004247218805791404	P52294, P42224, P78406, Q92793, P53778, P52948, Q13838, Q14653, P08107, P52630, P0DMV8, O14980, P52292, Q86UT6, P00747, Q86U42	251	174	6879	2.362618491551037	0.6162098531671887	0.10094098049120259	5.2923647467507
KEGG_PATHWAY	hsa05168:Herpes simplex infection	13	2.272727272727273	0.034177119618592544	P19784, P42224, P62140, P67870, P04439, Q92793, P06493, P68400, P24928, Q14653, P52630, Q9UER7, Q86U32	251	183	6879	1.9469009209065378	0.9996001149492426	0.542708091489783	35.870320471746666
KEGG_PATHWAY	hsa04964:Proximal tubule bicarbonate reclamation	4	0.6993006993006993	0.04912722654825139	Q9Y6R1, Q9UBX3, P05023, P05026	251	23	6879	4.7663260003464405	0.9999880451873719	0.6431350554924907	47.458241536150915
KEGG_PATHWAY	hsa03010:Ribosome	10	1.7482517482517483	0.058968578955815906	P60866, P08708, P61254, P62269, P39019, P42677, P61927, P62753, Q9Y3U8, P46782	251	136	6879	2.0151745957347083	0.9999988493901912	0.6800535179076508	53.99748484068909
KEGG_PATHWAY	hsa04261:Adrenergic signaling in cardiomyocytes	10	1.7482517482517483	0.06350403033122004	P0DP23, Q5JWF2, P62140, Q14524, P30153, P53778, P05023, P25100, P05026, P10415	251	138	6879	1.9859691668110169	0.9999996120012277	0.6787574209238743	56.751003606898486
KEGG_PATHWAY	hsa04510:Focal adhesion	13	2.272727272727273	0.07145638279865395	Q14315, P12814, P19105, Q08043, P05556, P12109, P62140, P08581, P15692, O43707, P35222, P35609, O14950, P10415	251	206	6879	1.7295284879897885	0.9999999430466169	0.6962354362232154	61.21525527293101
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	7	1.2237762237762237	0.09596701370004947	P19784, Q07817, Q16548, P67870, P68400, P63279, P10415	251	87	6879	2.2051105921143015	0.999999999861496	0.779826949750353	72.44276187787169
KEGG_PATHWAY	hsa04390:Hippo signaling pathway	10	1.7482517482517483	0.09830384710061589	P27348, P37173, P62140, P62258, Q14160, P30153, Q6ZTQ3, P35222, Q12959, P63104	251	151	6879	1.8149916888736444	0.9999999999226342	0.7666357647158837	73.3390670646713
