Source	Target
P31809	P11224
P11224	P11224
P11224	P11224
P11224	P11224
Q0ZME7	Q0ZME7
Q0ZME7	Q0ZME7
P33767	P41811
Q3T133	P41811
P39656	P41811
P41811	O15503
Q91AV1	P41811
Q96WV5	P68978
Q9Y5U4	P41811
P53622	P41811
P53622	Q3T133
P53622	P41811
P53622	P33767
P53622	P41811
P53622	P68978
P53622	P41811
P53622	P39656
Q3T133	Q96WV5
Q96WV5	P39656
Q96WV5	P33767
Q96WV5	P68978
P53622	P41811
P53622	Q9Y5U4
P53622	P41811
P53622	Q91AV1
P53622	P41811
P53622	O15503
Q96WV5	Q9Y5U4
Q96WV5	O15503
Q91AV1	Q96WV5
P53622	P41811
P53622	P41811
P53622	P41811
P53622	P41811
P53622	P41811
P27487	K0BRG7
P59594	P59594
P27487	K0BRG7
Q9BYF1-1	P59594
K0BRG7	K0BRG7
P27487	K0BRG7
Q9BYF1-1	P59594
P27487	K0BRG7
P27487	K0BRG7
P0C6U8	P62753
Q9BYF1-1	Q6Q1S2
Q9BYF1-1	Q6Q1S2
Q9BYF1-1	Q6Q1S2
Q2EEZ0	Q2EEZ0
Q2EEZ0	Q2EEZ0
Q2EEZ0	Q2EEZ0
Q1T6W9	Q1T6W9
P59632	P59632
P0C6X7	P0C6X7
P0C6X7	P0C6X7
P69596	P69596
P69596	P69596
P69596	P69596
P59594	P59594
P59594	P59594
P59594	P59594
P59594	P59594
P59594	P59594
P59594	P59594
P59594	P59594
P59594	P59594
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
P15130	P15130
Q696P8	Q696P8
Q7TLC7	O14964
Q7TLC7	P05155
Q7TLC7	Q13561
Q7TLC7	Q9NRH1
J9TC74	Q13561
J9TC74	P62258
J9TC74	Q99471
P59633	Q13561
P59633	P05155
P59633	P02768
Q6S8E0	P08708
Q6S8E0	P25787
P59634	Q13561
P59634	Q92994
Q19QW4	Q9BQB6
Q19QW4	Q9H4F8
Q7T6S2	P49069
Q7T6S2	P05155
Q6S8E0	P60866
Q6S8E0	P27448
Q19QW2	P46379
Q6S8E0	P60866
Q19QW2	P46379
P59634	Q13561
Q7T6S2	P49069
Q19QW4	Q9BQB6
Q6S8E0	P27448
Q6S8E0	P25787
Q7TLC7	O14964
Q7TLC7	Q13561
Q1HVL3	P15144
Q1HVL8	P15144
Q1HVK9	P15144
P15423	P15423
Q9BYF1	P0DTC2
Q9BYF1	P59594
K9N5Q8	P27487
Q9BYF1	P0DTC2
Q9BYF1	P59594
Q9BYF1	P0DTC2
Q9BYF1	P59594
Q9BYF1	P0DTC2
Q9BYF1	P59594
Q9BYF1	P59594
P59594	P59594
P61769	P04439
P61769	P59595
P61769	P04439
P61769	P03407
P61769	P04439
P61769	P59595
P61769	P04439
P61769	P59596
P61769	P04439
P61769	Q692E0
P61769	P04439
P61769	P59596
P61769	P04439
P61769	Q76R37
P61769	P04439
P61769	P59637
Q9BYF1	P0DTC2
Q9BYF1	P0DTC2
Q9BYF1	P0DTC2
Q9BYF1	P0DTC2
Q9BYF1	P59594
Q9BYF1	P0DTC2
Q9BYF1	P0DTC2
Q9BYF1	Q695T7
Q9BYF1	Q695T7
Q9BYF1	P0DTC2
Q9BYF1	Q695T7
Q9BYF1	P37173
Q9BYF1	P37173
P11021	K0BRG7
P11021	K0BRG7
P11021	K0BRG7
P11021	K0BRG7
P11021	K0BRG7
P11021	K0BRG7
