Source	Target
RpL18A	RpS13
RpL26	RpS12
RpS10a	RpS12
eIF3-S8	eIF3-S10
RpS27	RpL12
RpS23	RpL10Ab
Prosalpha7	Rpt2
RpS3A	RpS18
RpS7	RpL13
RpS3A	RpS6
RpL12	RpS14a
CG8258	CG7033
RpL3	RpL13
eIF-3p66	Trip1
RpS23	RpL11
RpS3A	sta
Rack1	RpS17
RpL30	RpS7
Rack1	RpL12
RpS11	RpS10a
RpL30	RpL12
RpS17	RpL12
RpL13	RpL12
eIF3-S9	eIF3-S10
RpS18	RpL3
Rpt1	Rpn5
RpS18	RpL4
RpS8	RpS16
CG5394	Aats-ile
Rack1	RpS2
RpS8	RpS14a
Tcp-1zeta	CG7033
RpL4	RpS12
RpS16	RpS14a
RpL30	RpS8
RpL30	RpS3
RpL4	RpS17
T-cp1	Tcp-1zeta
RpS10a	RpS13
RpL10	RpS18
RpS8	RpL10Ab
RpS4	RpS16
RpLP0	RpS3A
RpS13	RpS6
RpL30	RpS4
RpS23	RpL18A
RpS13	RpS15Aa
RpL26	RpS27
RpS4	RpS15Aa
RpS7	RpS18
RpL26	RpS6
RpL3	RpS16
Tango7	eIF3-S8
RpS13	RpS4
Rpn2	Rpt5
RpL26	RpL30
Rack1	RpL30
RpS10a	RpL13
RpS15Aa	RpS16
RpL4	RpS3
RpL30	RpL10Ab
RpS3	RpS4
RpS13	RpS16
RpL18A	RpS12
RpL18A	RpL12
T-cp1	Tcp-1eta
RpS8	RpS6
RpS10a	RpS17
RpL18A	RpS10a
RpS23	RpS14a
RpS7	RpS11
RpL26	RpL4
Rack1	RpS23
RpS2	RpS16
RpS8	RpL12
RpS27	RpS16
RpL10	RpL12
RpS18	RpS27
RpL26	RpS16
RpL10	RpS23
Rpt4	Rpn6
RpL18A	RpS6
RpL26	RpL12
RpS10a	RpL3
Prosalpha7	Prosbeta7
Rpn2	Rpt6
RpL12	RpS6
RpS7	RpL3
RpS7	RpS17
RpS17	RpL10Ab
RpL26	sta
RpS10a	RpS16
Rpt5	Rpn12
RpL10Ab	RpL12
RpL18A	RpS27
Rack1	RpL3
RpLP0	RpS11
RpS13	RpL12
RpS7	sta
Rpn3	Rpt5
RpS3A	RpS23
eIF3-S8	CG5642
RpL18A	RpS18
RpS4	RpS14a
RpL18A	RpS4
RpL26	RpS18
RpL10	Rack1
RpL30	RpL3
RpS27	RpS14a
RpS15Aa	RpS14a
RpS3A	RpL12
RpL11	RpS17
RpS8	RpS3
RpL3	RpS17
RpS8	RpS13
RpS2	RpS17
RpS11	RpL12
RpL3	RpS2
Rpn6	Rpn5
RpL3	RpS4
RpL26	Rack1
RpL18A	RpL11
RpS18	sta
RpL26	RpS13
RpL10	RpS3
T-cp1	Cctgamma
Prosalpha6	Prosbeta7
Cctgamma	Tcp-1zeta
eIF-3p66	eIF3-S8
RpL10	RpS8
RpL30	RpS11
Rpt1	Rpn6
RpL30	RpS2
RpS27	RpL13
RpL26	RpS14a
RpS7	RpS2
RpS3A	RpS2
Prosalpha7	Rpn6
RpS10a	RpL12
RpL30	RpS12
Tcp-1eta	Tcp-1zeta
RpS11	RpS3
RpS13	RpS14a
Rpt4	Rpn12
RpLP0	RpS18
RpS23	RpS18
Prosalpha7	Rpt5
Rpn3	Rpt2
RpL11	RpS6
RpLP0	RpL12
Rpt4	Rpt2
RpS10a	RpS14a
RpLP0	RpS6
Dhc64C	Dlic
RpS18	RpS12
RpS27	RpS13
Rack1	RpS11
RpS23	RpS6
RpLP0	RpS8
RpS7	RpS12
RpS4	RpL12
RpS4	sta
RpL10Ab	RpS4
RpS2	RpL10Ab
COX5A	COX6B
Rpn3	Rpn6
RpL13	RpS4
RpS3	RpS2
RpLP0	RpL30
RpS23	RpL13
RpL30	RpL4
RpL10	RpL26
eIF3-S8	Trip1
RpS23	RpL12
Rpt1	Rpt6
RpS8	RpS10a
Rpt1	Rpt5
RpL12	sta
RpS12	RpL12
Rpt1	Prosbeta7
Rpn5	Rpt6
Prosalpha6	Rpn12
RpL11	RpL4
RpS27	RpL3
Rack1	RpL4
RpL30	RpS6
RpL11	sta
RpS18	RpS6
RpS11	RpL10Ab
RpL10	RpL30
RpS3	RpS12
RpL18A	RpL4
RpL11	RpS3
Aats-ile	CG33123
Rack1	RpS7
RpS15Aa	RpS6
Prosalpha7	Prosalpha6
Rpn3	Rpn13
Rack1	RpS12
RpS3	RpS17
Tango7	Trip1
RpL4	RpS4
RpLP0	RpS23
RpS3	RpS15Aa
RpS8	RpL3
RpL4	Trip1
RpS27	RpS6
RpL18A	RpS3
Rpt4	Rpn5
RpS10a	RpS27
RpS13	RpS17
RpS27	RpS3
RpS3A	RpS27
Rack1	RpS27
RpL10	RpS7
RpS3	RpS6
Rpn3	Rpn12
RpS13	sta
RpS2	RpS6
RpS8	RpS11
RpL13	RpS16
RpS17	RpS16
RpS23	RpS27
RpL4	RpS16
RpS3	Trip1
RpL11	RpS10a
RpS23	RpS4
Cctgamma	Tcp-1eta
RpS11	RpS18
RpS3A	RpS14a
RpL26	RpS23
RpL30	RpS16
CG15100	CG33123
RpL18A	RpS2
RpS3A	RpS4
RpS11	RpS12
RpL26	RpS11
RpLP0	RpL4
RpS11	RpL11
RpL10	RpL4
Rpn3	Rpt6
RpL13	RpS6
RpL10	RpS17
Cct5	T-cp1
Rack1	RpS8
RpS18	RpS16
Rack1	sta
Tcp-1eta	CG7033
Rpn3	Rpn2
RpS3	RpL10Ab
Rack1	RpS13
RpS13	RpL10Ab
RpS27	sta
RpLP0	RpS27
Rpt2	Prosbeta7
RpS12	RpS16
RpL18A	RpL3
RpL10	RpS16
RpS23	RpS2
RpS17	RpS12
RpL26	RpL11
RpS18	RpS15Aa
RpL26	RpS8
Rpt4	Prosalpha6
RpS23	RpS12
eIF3-S9	eIF3-S8
RpS8	RpS4
RpL13	RpS12
Rpt1	Rpn2
RpS6	RpS14a
RpL26	RpS3A
RpS11	RpL3
Cct5	Tcp-1zeta
Rpt2	Prosalpha6
Rpn2	Rpn12
Rack1	RpL11
CG15100	CG5394
RpS3A	RpS12
CG8258	Cct5
eIF-3p66	CG5642
RpS3A	RpL3
RpL3	RpS12
RpL30	RpS27
RpS7	RpS3
RpS3A	RpS7
RpS11	RpL13
RpS17	sta
RpS2	RpS15Aa
RpL10	RpL11
RpS13	RpS12
RpS17	RpS6
COX4	COX6B
RpL18A	RpL10Ab
RpS8	RpS12
RpLP0	RpS7
Rpt4	Rpt5
RpL26	RpL13
RpS15Aa	sta
RpL26	RpS3
RpS23	RpS13
RpS2	RpL12
CG15100	Aats-ile
RpS10a	RpS3
