Source	Target
P62760	P60706
P62764	P60706
O15392	P53352
Q9IAY5	P49024
Q9IAY5	P49024
P49024	Q9IAY5
Q13625	P46936
O93512	O60542
P41238	Q7T2T1
O42414	Q9JI92
O42414	Q9JI92
P05556	Q00944
P05556	P49024
P27986	Q9DDT2
P28497	P23297
P49024	P12003
P49024	Q00944
Q4KWZ7	Q9DEA3
Q9DEA3	Q4KWZ7
P53478	Q9UUJ1
P53478	P32390
P53478	P78929
P12003	P60010
P79987	P56517
P79987	P56519
P79987	Q9W7I5
P79987	Q3C1E9
Q9W7I5	P79987
P56517	P79987
P56519	P79987
Q5ZJY5	O93257
Q5R1T0	P56517
Q5R1T0	P56519
Q5R1T0	P56517
Q5R1T0	P56519
Q5R1T0	P56520
Q09472	P17678
P23204	P17678
P23204	P23824
P23204	P23825
Q92993	P70082
Q92993	P0C1H3
Q92993	P84247
Q92993	P62801
P56519	Q9HAZ2
O18738	P31696
Q8AYS7	Q1T7B8
Q8AYS7	Q1T7C0
Q8AYS7	Q1T7B7
Q8AYS7	Q1T7C1
Q8AYS7	Q1T7B9
Q90ZF9	Q1T7B8
Q90ZF9	Q1T7C0
Q90ZF9	Q1T7B7
Q90ZF9	Q1T7C1
Q90ZF9	Q1T7B9
Q76I90	Q76I89
Q76I89	Q76I90
Q8AYS8	P09572
Q8AYS8	P11501
Q8AYS8	Q90593
Q8AYS8	P16053
Q8AYS8	P08106
Q8AYS8	O73885
Q8AYS8	Q5ZHY5
Q8AYS8	Q5ZL72
Q8AYS8	P09207
Q8AYS8	Q5ZLC5
Q8AYS8	P05094
Q8AYS8	P00508
Q8AYS8	P54097
Q8AYS8	P17153
Q8AYS8	Q5ZMT0
Q8AYS8	P28497
Q8AYS8	P62207
Q8AYS8	Q5ZKC9
Q8AYS8	Q5F3W6
Q8AYS8	P60878
Q8AYS8	Q5ZM44
Q8AYS8	P08250
Q8AYS8	Q5ZMB2
Q8AYS8	Q00649
Q8AYS8	Q5ZKK4
Q8AYS8	Q5ZIV5
Q8AYS8	Q5ZMD1
Q8AYS8	Q5ZLQ6
Q8AYS8	P07090
Q8AYS8	P81628
Q8AYS8	P42324
Q8AYS8	P62758
Q8AYS8	P62764
Q8AYS8	P08110
Q8AYS8	O93510
Q8AYS8	P13731
Q8AYS8	Q5F425
Q8AYS8	P18359
Q8AYS8	P02789
Q8AYS8	Q5ZL57
Q8AYS8	P19121
Q8AYS8	O57391
Q8AYS8	Q9PTG6
Q8AYS8	P63270
Q8AYS8	P51913
Q8AYS8	P05122
Q8AYS8	Q5ZME2
Q8AYS8	Q5ZHP5
Q8AYS8	P48463
Q8AYS8	P04354
Q8AYS8	P50890
Q8AYS8	P05419
Q8AYS8	P80566
Q8AYS8	P31395
Q8AYS8	P00940
Q8AYS8	Q5ZLN1
Q8AYS8	Q5ZJF4
Q8AYS8	P00340
Q8AYS8	P09654
Q8AYS8	O42163
Q8AYS8	P16580
Q8AYS8	P02112
Q8AYS8	P80026
Q8AYS8	Q5ZLG1
Q8AYS8	O57535
Q8AYS8	Q07212
Q8AYS8	O13268
Q8AYS8	P00337
Q8AYS8	P00356
Q8AYS8	P51903
Q8AYS8	P07341
Q8AYS8	P00548
Q8AYS8	P14732
Q8AYS8	P13648
Q8AYS8	Q5F3W6
Q8AYS8	P42324
Q8AYS8	P60878
Q8AYS8	P17153
Q8AYS8	Q5ZL72
Q8AYS8	Q5F425
Q8AYS8	P80566
Q8AYS8	Q01406
Q8AYS8	P08106
Q8AYS8	P31395
Q8AYS8	Q90593
Q8AYS8	Q04619
Q8AYS8	P14731
Q5F3W6	Q8AYS8
P42324	Q8AYS8
P60878	Q8AYS8
P17153	Q8AYS8
Q5ZL72	Q8AYS8
Q5F425	Q8AYS8
P80566	Q8AYS8
Q01406	Q8AYS8
P08106	Q8AYS8
P31395	Q8AYS8
Q90593	Q8AYS8
Q04619	Q8AYS8
P14731	Q8AYS8
P84023	P49140
P84023	P83038
P38531	P04637
P38531	P06876
P38531	P01103
F1N9Y5	P00548
F1N9Y5	P09244
F1N9Y5	O73885
F1N9Y5	Q5ZL72
F1N9Y5	P11501
F1N9Y5	Q90705
F1N9Y5	Q5ZLC5
F1N9Y5	P51913
F1N9Y5	Q5ZM98
F1N9Y5	P38024
F1N9Y5	P47826
F1N9Y5	P08070
F1N9Y5	Q90593
F1N9Y5	P15771
F1N9Y5	Q9IAY5
F1N9Y5	P50890
F1N9Y5	Q5ZJK8
F1N9Y5	P51903
F1N9Y5	P67883
F1N9Y5	P00340
F1N9Y5	Q6EE31
F1N9Y5	P22451
F1N9Y5	Q8UVD9
F1N9Y5	Q5ZJU3
F1N9Y5	O57535
F1N9Y5	Q5ZLP8
F1N9Y5	Q04619
F1N9Y5	Q5ZIQ3
F1N9Y5	P47836
F1N9Y5	Q5ZKC9
F1N9Y5	Q5ZK03
F1N9Y5	Q8AYC9
F1N9Y5	P00356
F1N9Y5	Q5ZLN4
F1N9Y5	Q5ZJ56
F1N9Y5	P18660
F1N9Y5	Q5ZMT0
F1N9Y5	Q8JFP1
F1N9Y5	P32429
F1N9Y5	P16039
F1N9Y5	P00337
F1N9Y5	P08106
F1N9Y5	Q5ZMS3
F1N9Y5	P61355
F1N9Y5	Q5ZJ54
F1N9Y5	P63247
F1N9Y5	Q5ZKA5
F1N9Y5	P08629
F1N9Y5	P16527
F1N9Y5	Q5ZMN2
F1N9Y5	Q5ZJZ5
F1N9Y5	P18359
F1N9Y5	Q5ZKF5
F1N9Y5	Q5ZLN1
F1N9Y5	Q9YGC1
F1N9Y5	Q5ZLE6
F1N9Y5	Q8UW59
F1N9Y5	Q5ZKB9
F1N9Y5	P13863
F1N9Y5	Q90WU3
F1N9Y5	Q5ZI72
F1N9Y5	Q5ZIA5
F1N9Y5	P11029
F1N9Y5	Q98TF8
F1N9Y5	Q5ZL42
F1N9Y5	Q5ZKC1
F1N9Y5	P17790
F1N9Y5	Q5ZMN3
F1N9Y5	Q98TF6
F1N9Y5	Q5ZLC6
F1N9Y5	P24367
F1N9Y5	P11799
F1N9Y5	Q5ZK62
F1N9Y5	P26584
F1N9Y5	P14315
F1N9Y5	Q5ZKG5
F1N9Y5	P42558
F1N9Y5	P41239
F1N9Y5	P05419
F1N9Y5	P43347
F1N9Y5	P63283
F1N9Y5	Q5ZJN4
F1N9Y5	Q5ZL57
F1N9Y5	Q8JG64
F1N9Y5	O42392
F1N9Y5	Q5ZK01
F1N9Y5	P19179
F1N9Y5	O93256
F1N9Y5	Q02391
P28683	P62140
Q6A078	P00698
P68400	O13016
P12931	O13016
P07812	Q04619
P07812	P08106
P62207	Q90623
Q90ZF9	Q76I89
Q90ZF9	Q76I90
Q90ZF9	Q76I89
P00523	P19785
P11501	Q5ZL72
P11501	P08106
Q04619	Q5ZL72
Q04619	P08106
P68399	P01109
P67868	P01109
Q12341	P02263
Q12341	P62801
Q5ZL72	P08106
Q5ZL72	Q04619
Q04619	P08106
Q06592	P62801
Q06592	P84247
P39979	P62801
Q3C1E9	P79987
Q3C1E9	Q5R1S9
Q3C1E9	P84247
Q3C1E9	P62801
P07812	Q15185
P07812	P07900
P07812	P34932
P07812	P25685
P07812	P31948
P25293	P70082
P25293	P0C1H3
P25293	P84247
P25293	P62801
Q702N8	P68139
A4UGR9	P68139
P68139	P42639
P42684	Q04929
Q92831	P02263
Q92831	P62801
Q9DEA3	Q4KWZ7
Q02842	Q5ZJL9
Q15185	P11501
P00523	P51913
Q04982	Q5ZIK9
Q04982	P48463
Q04982	Q5ZM98
Q04982	P67869
Q04982	O73885
Q04982	Q5ZMN3
Q04982	P16039
Q04982	P42558
Q04982	Q6U7I1
Q04982	P05625
Q04982	Q5ZMD1
Q04982	Q5ZLQ6
Q04982	Q5ZMT0
Q04982	Q5ZKC9
Q04982	P50147
Q04982	Q5F3W6
Q04982	O57476
Q04982	P11501
Q04982	Q90828
Q04982	Q90891
Q04982	Q90593
Q04982	P08110
P18652	O95071
O42414	P16092
P16092	O42414
P61088	Q9DEA3
Q15819	Q9DEA3
Q9W7C5	Q401C0
Q401C0	Q9W7C5
P11275	P13387
Q7T0L4	Q9PU53
Q07496	P32004
