Source	Target
CG6178	yip2
shep	ScpX
nito	Ref1
bol	Hrb27C
Lar	Abl
Lar	CadN
CG31715	cpb
Mapmodulin	Aats-ile
CG5590	CG17597
Sc2	Ost48
frj	CG10932
Kap-alpha3	emb
Uch	Usp5
Prx2540-1	Prx2540-2
CG2082	CG2091
lig	Capr
lig	rin
clu	Dp1
clu	eIF3-S10
clu	rin
clu	eIF3-S8
clu	eIF3-S9
CG9090	Cyt-c-p
CG9090	COX5A
Ace	Cat
Dbp80	emb
Ssadh	CG33791
Ssadh	CG32026
Ssadh	Mdh2
CG4572	CG10576
CG4572	Hsc70-3
PlexA	alpha-Cat
l(1)G0156	CG11876
l(1)G0156	Ssadh
l(1)G0156	CG33791
Plc21C	Gbeta76C
Plc21C	Pkc53E
Hrb27C	poe
Hrb27C	heph
Hrb27C	PyK
Hrb27C	bel
Hrb27C	me31B
Hrb27C	pAbp
Hrb27C	TER94
Khc	TAU
CG32026	CG33791
bel	Ref1
bel	poe
bel	emb
bel	vig
bel	me31B
Dp1	CG2918
Sgt	Trap1
Sgt	Tcp-1zeta
Men-b	CG11876
Men-b	PyK
Men-b	Mdh2
CG11899	CG3011
Mgstl	CG3529
Mgstl	Ost48
CG14715	CG2852
Lpin	Pkc53E
gammaSnap2	zetaCOP
gammaSnap2	betaCOP
gammaSnap2	epsilonCOP
gammaSnap2	beta'COP
gammaSnap2	deltaCOP
CG10359	Gp93
CG10359	CG1354
CG10359	CaBP1
CG10359	Pdi
KP78a	CG32683
KP78a	Arr2
CG9257	poe
CG9257	CG3529
Ect3	Rpn5
Ect3	CG6891
Ect3	Cat
Ect3	CalpB
CG4882	bonsai
CalpB	CG6891
CalpB	Cat
par-1	CG32683
par-1	KP78a
par-1	Arr2
Prx5	Prx2540-2
Prx5	Cat
Pkc53E	zip
CG31064	Rab5
Nlp	mago
Nlp	eEF1delta
Nlp	smt3
CG10186	betaCOP
CG10186	cpb
CG10186	cpa
CG10186	beta'COP
CG10186	bai
CG10186	epsilonCOP
CG10186	Dlic
CG10186	p115
CG10186	zetaCOP
CG10186	deltaCOP
rin	Capr
LpR1	Arr2
LpR1	Arr1
LpR1	Ubqn
LpR1	CG32683
LpR1	lqf
LpR1	Hrs
LpR1	LpR2
LpR1	Rab5
CG16935	CG12262
CG16935	yip2
poe	betaCOP
poe	CG3529
CG43367	betaCOP
CG43367	poe
Rab39	Rab5
Rab39	Gdi
emb	Rae1
emb	alphaCOP
emb	CG10576
AGBE	Eno
AGBE	PyK
LpR2	Ubqn
LpR2	CG32683
LpR2	Arr2
LpR2	Hrs
LpR2	lqf
LpR2	Rab5
CG3529	Ost48
Ost48	CG2918
Hsp60C	Hop
Hsp60C	Hsc70-3
Prx2540-2	Cat
EfTuM	RpS14a
EfTuM	Hsc70-5
EfTuM	RpL10Ab
EfTuM	RpS13
EfTuM	RpS16
EfTuM	RpS23
EfTuM	RpS15Aa
EfTuM	RpL4
EfTuM	CG11876
EfTuM	bonsai
EfTuM	mRpS10
EfTuM	RpL12
EfTuM	sta
EfTuM	RpL3
EfTuM	Hsp60
EfTuM	RpS18
EfTuM	RpS2
EfTuM	mRpS9
EfTuM	RpS3
EfTuM	mRpL12
EfTuM	RpL11
fne	Tango4
fne	Srp54
fne	CG10777
fne	Prp8
fne	mago
fne	CG16941
fne	yps
fne	CG10077
fne	Rbp9
fne	U2A
fne	Pkc53E
fne	Hrb98DE
fne	LS2
fne	SF2
fne	mub
fne	heph
Klp10A	deltaCOP
Mtl	zip
Mtl	tsr
Mtl	RhoGDI
Hsp60	CG7033
RanBPM	CG6617
yps	Tango4
yps	LS2
yps	mago
yps	CG10777
Art4	CG10777
Art4	CG10077
Art4	pAbp
ImpL3	Cat
ImpL3	Men-b
ImpL3	Pfk
ImpL3	Men
ImpL3	Eno
ImpL3	Tpi
ImpL3	PyK
ImpL3	CG11876
CG10077	CG10777
CG10077	LS2
CG10077	Tango4
CG10077	yps
CG10077	mago
Lam	Rab5
LamC	Lam
Ubqn	HDAC6
Ubqn	CG32683
mub	CG3800
mub	mago
mub	U2A
mub	Srp54
mub	Tango4
mub	Prp8
mub	CG10777
mub	CG16941
mub	yps
mub	CG10077
mub	LS2
mub	Hrb98DE
mub	Rbp9
mub	SF2
AGO1	Rbp9
AGO1	pAbp
AGO1	Rae1
AGO1	me31B
glo	Hrb98DE
Sap-r	CG3529
Sap-r	Mgstl
Sap-r	pins
Sap-r	Rab5
Sap-r	Ost48
Ndg	Cg25C
Ndg	LanB2
trol	Cp1
trol	LanB2
trol	Cg25C
trol	Ndg
Hsp70Ab	Pdi
Hsp70Ab	DnaJ-H
Hsp70Ab	Hop
Hsp70Ab	Hsp27
bai	Srp19
bai	CG2852
bai	gammaSnap2
bai	Klp10A
bai	Klc
bai	Dlic
bai	cpa
bai	p115
bai	cpb
bai	deltaCOP
bai	betaCOP
bai	epsilonCOP
bai	beta'COP
bai	zetaCOP
Nc73EF	Ssadh
Nc73EF	CG32026
Nc73EF	l(1)G0156
Nc73EF	CG33791
Nc73EF	CG11876
Srp54	yps
Srp54	CG10777
Srp54	mago
Srp54	LS2
Srp54	CG10077
Srp54	Tango4
Ugt	CG2918
Rbp9	CG10777
Rbp9	Tango4
Rbp9	Srp54
Rbp9	Prp8
Rbp9	CG10077
Rbp9	CG16941
Rbp9	U2A
Rbp9	Pkc53E
Rbp9	LS2
Rbp9	Hrb98DE
Rbp9	yps
Rbp9	mago
Act79B	cpb
Act79B	flr
Act79B	zip
Rbp2	pAbp
Rbp2	RpL10Ab
Rbp2	RpS4
Rbp2	RpL18A
Rbp2	RpS3
Rbp2	RpS11
Rbp2	eIF3-S9
Rbp2	RpL11
Rbp2	eIF3-S10
Rbp2	RpL13
Rbp2	eIF3-S8
Rbp2	RpS10b
Rbp2	RpS10a
Rbp2	RpS27
Rbp2	RpL3
Rbp2	RpS12
Rbp2	RpS7
Rbp2	RpL12
Rbp2	Tango7
Rbp2	RpS23
Rbp2	RpS13
Rbp2	sta
Rbp2	RpS18
Rbp2	RpS16
Rbp2	RpL4
Rbp2	RpS6
Rbp2	Trip1
Rbp2	RpS2
Rbp2	eIF-3p66
Rbp2	CG5642
Rbp2	CG9769
Iswi	His1
Iswi	Bap55
Iswi	smt3
Iswi	mor
Vps60	Hrs
eEF1delta	eIF3-S10
eEF1delta	RpS10b
eEF1delta	RpS13
eEF1delta	RpS6
eEF1delta	RpS16
eEF1delta	RpL12
eEF1delta	sta
eEF1delta	RpS2
eEF1delta	CG5642
eEF1delta	RpL13
eEF1delta	Trip1
CG10576	RpS6
CG10576	RpS4
CG10576	Capr
CG10576	sta
CG10576	RpS16
CG10576	Tcp-1zeta
CG10576	wuho
CG10576	RpL12
CG10576	CG7033
Abl	Dscam1
Abl	syd
Abl	alpha-Cat
Abl	arm
Rae1	mago
Mtor	mago
Mtor	AGO1
Mtor	Hsc70-3
Mtor	Hsc70-5
Mtor	smt3
Mtor	Rae1
Ref1	LS2
Ref1	mago
Trap1	Hsp70Ab
Trap1	Hop
Trap1	Hsp60C
Trap1	Hsp60
Trap1	CG2918
