Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	111	19.405594405594407	1.341797263002823E-30	P62753, J3QSV6, Q16630, Q13283, P62269, O00148, Q02978, O43707, Q00839, Q86WX3, Q13151, P68036, Q9BRP8, P17987, P39019, Q8TDD1, Q6NZY4, P11940, Q9UKV3, P62258, P56270, P16402, P67809, P61254, P63244, Q8NC51, P38159, P40227, Q9Y580, Q14974, P12956, P09874, Q00688, P78563, P30876, Q7KZF4, Q6PKG0, P63279, Q92900, P63104, Q7L8L6, Q8N5P1, Q9BUQ8, Q86VM9, Q14152, P63165, Q9UN86, Q13838, Q8WTT2, O43818, P50395, Q9BXP5, O75400, P61326, Q96A72, Q9Y3U8, P07355, Q09161, Q9Y5A9, P31948, P18615, Q6PJT7, Q9H307, Q5VV67, Q8NCA5, P09651, P15924, Q13310, P20290, P52298, P22314, P49756, P04439, P24928, P26599, P35637, Q9Y5S9, Q9NW13, P19338, P62191, Q15365, P04003, O75534, Q9ULX6, Q9HCE1, Q53F19, O00422, P52292, Q14739, P98179, P38919, Q9UKA9, P46782, Q86U42, Q16891, P60866, Q8TAD8, Q9NR30, P13010, P08708, P62937, P49368, Q14011, P25705, Q7KZI7, P42677, P08621, Q9NQC3, Q86U32, O75940, Q10589	492	1129	16881	3.3733554408174724	9.204729224199366E-28	9.204729224199366E-28	2.018040447854371E-27
GOTERM_MF_DIRECT	GO:0005515~protein binding	364	63.63636363636363	3.4849613113262276E-24	Q9P021, Q13200, Q96GX9, Q13769, Q5H9R7, Q3ZCQ8, Q99988, Q86VR2, P62753, Q9NTJ3, P0DP23, P61769, Q9BSJ2, O43292, P62269, Q8TBB1, P59998, P50402, Q8IXH7, Q00839, P34741, Q99569, Q13561, Q07820, P55198, Q13352, Q4KMQ2, Q9NZJ7, Q96GG9, Q9H3K2, Q07817, Q9UKV3, P52630, P62258, Q86YB8, Q8NC51, P35998, P40227, Q00403, P26358, Q96PE1, P35606, Q92793, Q96FV9, Q15303, P09874, P35609, Q9Y680, Q00688, P78563, Q13443, Q15311, P27348, Q6PKG0, Q12789, P11021, Q92900, P63104, Q9ULJ7, Q8WX92, Q7L8L6, P35613, Q9BUQ8, Q9UBX3, Q9P035, P25100, Q13838, Q9NQG5, P06576, Q9Y5U4, Q13438, Q9BXP5, O60333, P55085, Q13224, Q9NS75, P53618, Q09161, O14745, Q9P0K1, Q9UL15, Q9Y5A9, P31948, P30153, Q9H773, Q6PJT7, O75592, Q8NCA5, Q9Y3A6, P57088, O00303, P05023, P09651, P05026, Q9NZ01, P52294, Q9BQ95, Q96CW5, O95619, Q13310, P20290, P52298, Q8N0Z6, P49756, P14735, P24928, P37173, Q9H270, Q9Y5S9, P51665, O00192, P60900, Q96HW7, P00747, P19338, Q15365, Q12959, P27105, Q9BSM1, P25787, P04003, Q9UQB3, Q14CM0, P81408, P67870, Q9HCE1, P68400, Q8IXB1, P33176, O00422, P00750, Q96IZ7, P08107, P46379, P83916, Q8NEM0, Q96DZ1, P48643, O00429, P52292, P05161, O43765, P46782, Q99623, Q9UKS6, Q9NR30, O75348, P52948, P51148, Q8N0X7, P49368, Q99615, P05155, O15397, P0DMV8, P08621, Q6ZTQ3, Q9NQC3, O43852, Q10589, O76024, P25440, P04406, Q9ULV4, Q14524, Q96EY1, P53778, P35247, P09601, Q16630, Q5BJF2, Q9H845, O15027, Q13283, P15151, Q9NXK8, O00148, O95071, O95070, P53396, Q7L590, O43707, O14656, P10415, Q05639, Q86WX3, P68036, Q9BRP8, Q9Y6R1, P05556, O75822, P17987, Q13155, P39019, Q00765, Q13011, Q15293, P48668, O60884, Q6NZY4, O60885, O60684, P11940, P61254, P56270, P67809, Q9NU22, Q15008, P63244, Q96HR9, P31150, P48065, P38159, Q9BS26, Q9H173, Q9UM54, P34932, Q96A65, Q14974, O43633, Q96IV0, P12956, Q14160, Q96PV6, P16615, P35222, Q99832, P62195, P12814, P30876, P19105, Q9H078, Q02224, P52907, Q7KZF4, P35232, Q9Y375, O95816, Q14257, P63279, Q5JWF2, O94826, Q8N5P1, Q86VM9, Q14152, P07195, Q9H3P2, P63165, Q9UN86, Q14155, Q6DN90, Q14653, Q96NW7, P09603, P50395, Q9H814, O95347, P40939, P31431, O75400, Q8IWR1, Q9UER7, P61326, Q96A72, P07355, P31689, P42224, K7ELV2, P39656, Q16576, Q9BYF1, P11586, P18615, P27487, Q9NWV8, Q7Z5G4, Q9H8W4, P13804, Q9Y6M9, Q8N8U2, Q9Y265, Q96SF7, O00629, Q5SW79, P15924, P62140, P22459, P22314, Q9UHI6, Q99471, Q9UH99, P04439, Q96RT1, O14950, Q96S52, P22460, P26599, O14818, P20700, P35637, Q12770, Q8NI27, Q9H4F8, Q86UT6, P15692, Q9P289, P61158, P62191, Q9Y276, P19784, Q8IV08, Q96CS3, O15503, P08581, Q92843, O75534, P06493, Q9ULX6, P61916, Q53F19, O14964, O95373, Q9NV92, Q16548, Q96F46, O00124, Q14739, P28300, O75934, P98179, P48050, P38919, P12004, Q86U42, Q16891, P60866, Q8IWF2, Q6I9Y2, Q8TAD8, Q08043, Q8TF76, P02768, P60660, P13010, P34897, P57678, Q9NYU1, O00505, P27448, P25205, Q14315, Q6P2E9, P62937, O60762, Q14011, Q92552, O14980, P25705, Q7KZI7, P42677, Q96K17, Q5JVF3, O00231, Q86U32, O75940, P49069	492	8785	16881	1.421649985424157	2.3906834595697923E-21	1.1953417297848962E-21	5.241323022022843E-21
GOTERM_MF_DIRECT	GO:0003723~RNA binding	52	9.090909090909092	1.8017824082696423E-13	Q09161, P26358, Q9Y5A9, Q3ZCQ8, Q16576, Q16630, J3QSV6, Q96FV9, P78563, P18615, P62269, O95071, P10155, P98179, Q9UKA9, Q00839, Q96J01, Q92900, P09651, P46782, Q86U42, P60866, Q6I9Y2, Q13151, Q8N0Z8, Q13310, P52298, Q8TDD1, P78406, Q14152, Q86W42, P61927, P52948, Q9NVW2, P11940, Q9BW92, Q14011, Q9H814, P26599, P35637, P61254, P67809, Q9Y5S9, O14980, O75400, P08621, P60900, Q5JVF3, Q86U32, P19338, Q15365, P38159	492	547	16881	3.2617380835599947	1.2360978907111075E-10	4.1203263023703585E-11	2.710054403110007E-10
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	22	3.8461538461538463	6.123355750648725E-12	Q9H173, P40227, P31689, P17987, Q99471, Q96EY1, O60884, Q9NYU1, Q99832, P62937, P49368, Q58FF8, P08107, Q9Y375, Q96DZ1, Q86YB8, Q12770, Q9NU22, P48643, P0DMV8, Q7Z4Q2, P11021, O14656	492	110	16881	6.86219512195122	4.200600312032066E-9	1.0501500780080164E-9	9.209377704877397E-9
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	22	3.8461538461538463	8.77360779766869E-8	P35998, Q9ULI0, P14735, Q13838, P62195, Q9H078, Q02224, P06576, Q15311, P08107, Q9UKV3, P33527, P0DMV8, Q9NU22, O00148, Q15008, P25705, O60333, P11021, Q9Y265, P62191, O14656, P05026	492	183	16881	4.1248167399706785	6.018514092143157E-5	1.2037317974833428E-5	1.319534998933669E-4
GOTERM_MF_DIRECT	GO:0003729~mRNA binding	18	3.146853146853147	1.2785470619630523E-7	Q8TAD8, P52298, Q13769, P49756, Q14152, Q53F19, Q16630, Q9UN86, P78563, Q13283, Q9Y5S9, Q8NI27, P08621, Q9UKA9, P38919, Q15365, P46782, P38159	492	125	16881	4.940780487804878	8.770448776618256E-5	1.4617948828399285E-5	1.9229114860408458E-4
GOTERM_MF_DIRECT	GO:0098641~cadherin binding involved in cell-cell adhesion	27	4.72027972027972	3.898363554961601E-7	P07355, Q9UM54, P42224, Q14160, Q9Y6E2, J3QSV6, P35222, P52907, P33176, Q7KZF4, P08107, Q6PKG0, P11021, Q9Y265, P50402, P63104, P05556, P35613, Q9NYL9, P62258, P47756, P0DMV8, P63244, Q7KZI7, Q9NQC3, Q15365, Q8NC51, Q12959	492	290	16881	3.1944701429772917	2.6739203639547515E-4	3.820324052616897E-5	5.863056978028247E-4
GOTERM_MF_DIRECT	GO:0005524~ATP binding	77	13.461538461538462	1.0108721120384625E-6	P31689, Q96EY1, Q5T9A4, P53778, Q9NTJ3, P11586, Q13283, P38606, O00148, P53396, Q9Y265, Q00839, P05023, O14656, P05026, P51570, P68036, P17987, P22314, Q8TDD1, Q9UHI6, O60884, P14735, P37173, Q9NU22, Q86UT6, Q9P289, P61158, P62191, Q9Y276, P19784, Q9UM54, P35998, Q9NVI7, P40227, P34932, P12956, P08581, Q9ULI0, P06493, Q9HCE1, P68400, Q15303, P16615, Q99832, P62195, Q02224, Q9H078, P33176, Q58FF8, P08107, O95757, P48643, O15439, P11021, P38919, P63279, Q92900, O94762, Q96D53, Q9NR30, Q9P0L2, Q8TF76, Q9BUQ8, P13010, P27448, P25205, Q13838, P49368, P06576, Q9BW92, P33527, O95347, P0DMV8, P25705, O60333, Q7KZI7, Q9Y4L1	492	1495	16881	1.7671873725426217	6.932182324838054E-4	8.667857061350759E-5	0.0015203238147742937
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	29	5.06993006993007	1.2503204410296329E-6	Q9Y580, Q16630, Q53F19, P18615, Q13283, Q5VV67, P98179, Q9UKA9, P05023, P09651, Q86U42, Q13151, Q13310, P52298, P49756, Q9UN86, P11940, Q14011, Q9BXP5, P26599, Q9H270, Q9UKV3, P35637, Q9Y5S9, P08621, Q9NW13, Q86U32, P19338, P38159	492	348	16881	2.859247967479675	8.573526218264016E-4	9.529772097116584E-5	0.0018804443458697584
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	24	4.195804195804196	1.1935567689530445E-4	Q86WX3, P68036, P42224, Q14974, Q14524, O76061, P09601, Q9P035, P61916, P09874, P16615, P35222, P35232, P08107, P83916, Q9UKV3, P62258, P0DMV8, P63244, P11021, P59998, Q9UER7, Q7L590, P63279, P12004	492	333	16881	2.4728631070094487	0.07862013657189548	0.00815485538750349	0.17935859799274034
