SM00265:BH4	Q07817,Q92843,P10415
SM00033:CH	Q14315,P12814,Q08043,O43707,P13797,Q8NHY3,P35609,Q14155
SM00361:RRM_1	P11940,Q14011,Q13310,P19338,P38159
SM00150:SPEC	P12814,Q08043,P15924,O43707,P35609
SM00088:PINT	Q9UNM6,Q15008,Q14152,O00231
SM00101:14_3_3	P27348,P62258,P63104
SM00948:SM00948	P25787,O14818,P60900
SM00557:IG_FLMN	Q14315,Q7Z4H8,Q6UW63
SM00490:HELICc	Q9NR30,Q8TDD1,Q9BUQ8,Q9UHI6,O00148,P38919,Q13838,O94762
SM00487:DEXDc	Q9NR30,Q8TDD1,Q9BUQ8,Q9UHI6,O00148,P38919,Q13838,O94762
SM00244:PHB	P27105,P35232,Q99623
SM00271:DnaJ	Q8IXB1,Q99615,P31689,Q96EY1,O60884
