SUID	alias	canonicalName	Column 1	Column 3	EnsId	GoDesc	GoId	InterDesc	InterId	KeggDesc	KeggId	MCODE_Cluster	MCODE_Node_Status	MCODE_Score	name	PsId	PsIdUniq	selected	shared name	SwId
64	GOLGA8B	GOLGA8B	GOLGA8B	GOLGA8B	ENSG00000175265								Unclustered	0	GOLGA8B	210425_x_at|213650_at	213650_at	TRUE	GOLGA8B	Q2M3S9|Q9NZW0|Q52M46|Q659D1|Q659E6|Q68DK6
65	208120_x_at	208120_x_at		208120_x_at				DUF741	IPR007994				Unclustered	0	208120_x_at	208120_x_at	208120_x_at	TRUE	208120_x_at	Q9BZ60
66	SPCS2	SPCS2	SPCS2	SPCS2	ENSG00000118363	C:integral to membrane|C:microsome|C:signal peptidase complex|F:signal peptidase activity|P:signal peptide processing	16021|5792|5787|9003|6465	SPC25	IPR009582				Unclustered	0	SPCS2	201239_s_at|201240_s_at	201240_s_at	TRUE	SPCS2	Q15005|Q3KQT0|Q6FG65|Q6IRX0
72	FLJ20294	FLJ20294	FLJ20294	FLJ20294	ENSG00000110497			WD40	IPR001680			Cluster 6	Clustered	2,37037E+16	FLJ20294	214001_x_at|219141_s_at|222189_at|52731_at	52731_at	TRUE	FLJ20294	Q86XD6|Q9C0C7|Q9H8Z0|Q9NXE7|---
75	208238_x_at	208238_x_at	208238_x_at	208238_x_at	ENSG00000196853								Unclustered	6,66667E+15	208238_x_at	208238_x_at	208238_x_at	TRUE	208238_x_at	Q9UN38
77	CNN1	CNN1	CNN1	CNN1	ENSG00000130176	P:regulation of smooth muscle contraction|F:actin binding|P:actomyosin structure organization and bioge...	6940|3779|31032	Calpon_ac_bd_sub|Calponin|Calponin_act_bd|Calponin_repeat|SM22_calponin	IPR003247|IPR001997|IPR001715|IPR000557|IPR003096				Unclustered	0	CNN1	203951_at	203951_at	TRUE	CNN1	P51911|Q53FP8
78	TARDBP	TARDBP	TARDBP	TARDBP	ENSG00000120948	C:nucleus|F:microtubule binding|F:protein binding|F:transcription factor activity|P:mitosis|P:transcription from RNA polymerase II promoter|F:nucleotide binding|F:RNA binding|F:nucleic acid binding	5634|8017|5515|3700|7067|6366|166|3723|3676	a_b_plait_nuc_bd|RRM_RNP1	IPR012677|IPR000504				Unclustered	0	TARDBP	200020_at	200020_at	TRUE	TARDBP	Q13148|Q53H27|Q6FI92|Q9H256
79	NDUFC1	NDUFC1	NDUFC1	NDUFC1	ENSG00000109390	F:NADH dehydrogenase (ubiquinone) activity|P:mitochondrial electron transport, NADH to u...	8137|6120			Oxidative phosphorylation	190		Unclustered	0	NDUFC1	203478_at	203478_at	TRUE	NDUFC1	O43677|Q3MIJ9|Q6IAZ9
83	ITGAV	ITGAV	ITGAV	ITGAV	ENSG00000138448	C:integrin complex|F:protein binding|P:cell adhesion|P:cell-matrix adhesion|P:integrin-mediated signaling pathway|C:integral to membrane|F:receptor activity	8305|5515|7155|7160|7229|16021|4872	FG-GAP|Int_alpha_beta-p|Integrin_alpha-2|Integrin_alpha_C	IPR013517|IPR013519|IPR013649|IPR013513	Focal adhesion|ECM-receptor interaction|Cell adhesion molecules (CAMs)|Regulation of actin cytoskeleton	4510|4512|4514|4810		Unclustered	0	ITGAV	202351_at	202351_at	TRUE	ITGAV	P06756|Q59EB7
84	LOC645745	LOC645745		LOC645745								Cluster 4	Seed	3,55556E+16	LOC645745	211456_x_at	211456_x_at	TRUE	LOC645745	---
85	CAST	CAST	CAST	CAST	ENSG00000153113	C:cytosol|C:endoplasmic reticulum|C:endoplasmic reticulum lumen|C:extracellular region|C:integral to membrane|F:interleukin-1, Type II receptor binding|F:interleukin-6 receptor binding|F:leucyl aminopeptidase activity|F:methionyl aminopeptidase activity|F:protein binding|F:zinc ion binding|P:angiogenesis|P:antigen processing, endogenous antigen via ...|P:blood pressure regulation|P:fat cell differentiation|P:membrane protein ectodomain proteolysis|P:regulation of innate immune response|F:endopeptidase inhibitor activity|F:aminopeptidase activity|F:membrane alanyl aminopeptidase activity|P:proteolysis|F:calpain inhibitor activity	5829|5783|5788|5576|16021|5151|5138|4178|4239|5515|8270|1525|19885|8217|45444|6509|45088|4866|4177|4179|6508|30161	Prot_inh_calpain|Pept_M_Zn_BS|Peptidase_M1|Peptidase_M1_N	IPR001259|IPR006025|IPR001930|IPR014782				Unclustered	0	CAST	207467_x_at|208908_s_at|209701_at|212580_at|212586_at	212586_at	TRUE	CAST	P20810|Q15786|Q59HE3|Q6AZE3|Q7Z4K0|Q86YM9|Q9Y2M4|Q53GQ8|Q9NZ08
86	RPS15	RPS15	RPS15	RPS15	ENSG00000115268	C:cytosolic small ribosomal subunit (sensu Eu...|F:protein binding|F:structural constituent of ribosome|P:protein biosynthesis	5843|5515|3735|6412	Ribosomal_S15e/a|Ribosomal_S19	IPR005713|IPR002222				Unclustered	6,66667E+15	RPS15	200819_s_at	200819_s_at	TRUE	RPS15	P62841|Q3KRA1|Q9BR87
87	GOLGA8A	GOLGA8A	GOLGA8A	GOLGA8A	ENSG00000175265								Unclustered	2,22222E+15	GOLGA8A	208797_s_at|208798_x_at|210424_s_at	210424_s_at	TRUE	GOLGA8A	Q2M3S9|Q52M46|Q659D1|Q659E6|Q68DK6|Q9NZW0
88	RPL32	RPL32	RPL32	RPL32	ENSG00000144713			Ribosomal_L32E	IPR001515				Unclustered	253125	RPL32	200674_s_at	200674_s_at	TRUE	RPL32	P62910
89	ATP5J2	ATP5J2	ATP5J2	ATP5J2	ENSG00000160916	C:proton-transporting ATP synthase complex (s...|P:proton transport	5753|15992			Oxidative phosphorylation	190		Unclustered	0	ATP5J2	202961_s_at	202961_s_at	TRUE	ATP5J2	P56134|Q53FE1|Q6IBB3|Q6ZW92
90	MT1G	MT1G	MT1G	MT1G	ENSG00000125144			Metallthion_|Metallthion_1	IPR003019|IPR000006			Cluster 4	Clustered	3,55556E+16	MT1G	204745_x_at|210472_at	210472_at	TRUE	MT1G	P13640
91	OAZ2	OAZ2	OAZ2	OAZ2	ENSG00000180304	F:ornithine decarboxylase inhibitor activity|P:polyamine metabolism	8073|6595	ODC_AZ|EF_hand_Ca_bd	IPR002993|IPR002048				Unclustered	0	OAZ2	201364_s_at|201365_at	201365_at	TRUE	OAZ2	O95190|Q9HD73
92	NDUFA10	NDUFA10	NDUFA10	NDUFA10	ENSG00000130414	F:NADH dehydrogenase (ubiquinone) activity|F:ATP binding|F:phosphotransferase activity, alcohol group ...|P:nucleobase, nucleoside, nucleotide and nucl...|F:oxidoreductase activity	8137|5524|16773|6139|16491	Aldo/ket_red|dNK	IPR001395|IPR002624	Oxidative phosphorylation	190		Unclustered	0	NDUFA10	217860_at	217860_at	TRUE	NDUFA10	O95299|Q59FM0|Q7Z518|Q8N1B9|Q8WXC9
95	ACO2	ACO2	ACO2	ACO2	ENSG00000100412	C:mitochondrion|F:iron ion binding|P:citrate metabolism|P:generation of precursor metabolites and energy|P:tricarboxylic acid cycle|F:aconitate hydratase activity|F:lyase activity|P:metabolism	5739|5506|6101|6091|6099|3994|16829|8152	Aco_LysF|Aconitase_C|Aconitase_mito|Aconitase_N|Thiolase	IPR012084|IPR000573|IPR006248|IPR001030|IPR002155	Citrate cycle (TCA cycle)|Glyoxylate and dicarboxylate metabolism|Reductive carboxylate cycle (CO2 fixation)	20|630|720		Unclustered	0	ACO2	200793_s_at|217337_at	217337_at	TRUE	ACO2	Q6FHX0|Q8TAQ6|Q99798|---
96	RPL37	RPL37	RPL37	RPL37	ENSG00000145592	C:intracellular|C:ribosome|F:structural constituent of ribosome|P:protein biosynthesis	5622|5840|3735|6412	Ribosomal_L37E	IPR001569				Unclustered	253125	RPL37	200092_s_at	200092_s_at	TRUE	RPL37	P61927|Q6NW06
97	TMEM93	TMEM93	TMEM93	TMEM93	ENSG00000127774								Unclustered	1125	TMEM93	221255_s_at	221255_s_at	TRUE	TMEM93	Q9BV81
98	P4HB	P4HB	P4HB	P4HB	ENSG00000189268	C:cell surface|C:endoplasmic reticulum|C:ER-Golgi intermediate compartment|C:extracellular region|F:procollagen-proline 4-dioxygenase activity|F:protein disulfide isomerase activity|P:peptidyl-proline hydroxylation to 4-hydroxy...|F:electron carrier activity|F:isomerase activity|F:protein disulfide oxidoreductase activity	9986|5783|5793|5576|4656|3756|18401|9055|16853|15035	Disulph_isom|Disulphide_isom|ER_target_S|Thiored|Thioredoxin_dom|Thioredoxin_fold	IPR005788|IPR005792|IPR000886|IPR006662|IPR013766|IPR012335				Unclustered	0	P4HB	200654_at|200656_s_at	200656_s_at	TRUE	P4HB	P07237|Q8NI86|Q96C96
100	TAGLN	TAGLN	TAGLN	TAGLN	ENSG00000149591	P:muscle development	7517	Calpon_ac_bd_sub|Calponin_act_bd|Calponin_repeat|SM22_calponin|Transgelin	IPR003247|IPR001715|IPR000557|IPR003096|IPR001061			Cluster 21	Seed	6,66667E+15	TAGLN	205547_s_at	205547_s_at	TRUE	TAGLN	Q01995|Q53GC9|Q59FA5|Q5U0D2|Q6FI52|Q96FG7
